"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"123","Namibia","NAM",33,33,34.7878787878788,0,-1.78787878787879,2.75409836065574,6.69454225352113,2.5418410041841
"124","Niger","NER",42,42,45.5151515151515,0,-3.51515151515152,4.52459016393443,4.18573943661971,4.72003445729757
"125","Nigeria","NGA",72.3333333333333,72.3333333333333,71.8787878787879,0,0.454545454545453,10,9.95158450704226,10
"126","Nicaragua","NIC",49.6666666666667,54,53.6969696969697,-4.33333333333334,-4.03030303030303,6.0327868852459,3.4375,6.38136844696038
"127","Netherlands","NLD",22.3333333333333,25,24.5151515151515,-2.66666666666667,-2.18181818181818,0.655737704918032,6.12235915492958,0.455943883829683
"128","Norway","NOR",24,27.3333333333333,26.7272727272727,-3.33333333333333,-2.72727272727273,0.983606557377049,5.33010563380282,0.905119369923703
"129","Nepal","NPL",46.6666666666667,46.6666666666667,46.8181818181818,0,-0.151515151515149,5.44262295081967,9.07130281690142,4.98461727787349
"130","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,NA
"131","New Zealand","NZL",19,20.6666666666667,23.6969696969697,-1.66666666666667,-4.69696969696969,0,2.46919014084508,0.2898104848634
"132","Oman","OMN",34,39,38.6969696969697,-5,-4.6969696969697,2.95081967213115,2.46919014084507,3.33558946591189
"133","Pakistan","PAK",64.3333333333333,64.3333333333333,66.6666666666667,0,-2.33333333333334,8.91803278688525,5.90228873239436,9.01489047501846
"134","Panama","PAN",21.3333333333333,21.3333333333333,26.1818181818182,0,-4.84848484848485,0.459016393442621,2.24911971830986,0.794363770612849
"135","Peru","PER",26.3333333333333,20,25.1212121212121,6.33333333333333,1.21212121212121,1.44262295081967,10,0.579005660841744
"136","Philippines","PHL",42.3333333333333,48.6666666666667,48.4242424242424,-6.33333333333333,-6.09090909090909,4.59016393442623,0.444542253521123,5.31073098695545
"137","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,NA
"138","Papua New Guinea","PNG",50.3333333333333,50.3333333333333,50.7878787878788,0,-0.454545454545453,6.16393442622951,8.63116197183099,5.79067191730249
"139","Poland","POL",26.3333333333333,28,32.4242424242424,-1.66666666666667,-6.0909090909091,1.44262295081967,0.444542253521117,2.06190007383707
"140","Korea DPR","PRK",87.3333333333333,87.3333333333333,89.3030303030303,0,-1.96969696969697,10,6.43045774647888,10
"141","Portugal","PRT",37.3333333333333,37.3333333333333,36.3939393939394,0,0.939393939393938,3.60655737704918,10,2.86795471326606
"142","Paraguay","PRY",38.6666666666667,37,43.5454545454545,1.66666666666666,-4.87878787878788,3.86885245901639,2.20510563380282,4.32008368200837
"143","Qatar","QAT",29.3333333333333,33,35.6666666666667,-3.66666666666667,-6.33333333333333,2.0327868852459,0.0924295774647899,2.72028058085159
"144","Romania","ROU",39.3333333333333,42.3333333333333,44.2424242424242,-3,-4.90909090909091,4,2.16109154929577,4.46160472557224
"145","Russian Federation","RUS",44.6666666666667,44.6666666666667,47.1212121212121,0,-2.45454545454546,5.04918032786885,5.72623239436619,5.04614816637953
"146","Rwanda","RWA",49.3333333333333,49.3333333333333,50.0909090909091,0,-0.757575757575758,5.9672131147541,8.19102112676057,5.64915087373862
"147","Saudi Arabia","SAU",27.6666666666667,32.6666666666667,32.7878787878788,-5,-5.12121212121212,1.70491803278689,1.85299295774648,2.1357371400443
"148","Sudan","SDN",75.6666666666667,81.6666666666667,79.8181818181818,-6,-4.15151515151514,10,3.26144366197185,10
"149","Senegal","SEN",33.6666666666667,33.6666666666667,34.9393939393939,0,-1.27272727272727,2.88524590163934,7.44278169014085,2.57260644843712
"150","Singapore","SGP",6.66666666666667,6.66666666666667,9.54545454545454,0,-2.87878787878788,0,5.11003521126761,0
"151","Solomon Islands","SLB",NA,NA,NA,NA,NA,NA,NA,NA
"152","Sierra Leone","SLE",56.6666666666667,56.6666666666667,60,0,-3.33333333333334,7.40983606557377,4.44982394366197,7.6612109278858
"153","El Salvador","SLV",32.3333333333333,32.3333333333333,35.5151515151515,0,-3.18181818181818,2.62295081967213,4.66989436619719,2.68951513659857
"154","Somalia","SOM",73,73,72.8484848484849,0,0.151515151515142,10,9.51144366197182,10
"155","Serbia","SRB",45.3333333333333,45.3333333333333,48.5151515151515,0,-3.18181818181819,5.18032786885246,4.66989436619718,5.32919025350726
"156","South Sudan","SSD",NA,NA,NA,NA,NA,NA,NA,NA
"157","Sao Tome and Principe","STP",50.6666666666667,50.6666666666667,54.1818181818182,0,-3.51515151515152,6.22950819672131,4.18573943661971,6.47981786857003
"158","Suriname","SUR",64.3333333333333,64.3333333333333,69.1818181818182,0,-4.84848484848484,8.91803278688525,2.24911971830987,9.52559684961851
"159","Slovakia","SVK",27,32,30.9393939393939,-5,-3.93939393939394,1.57377049180328,3.56954225352113,1.76039872015752
"160","Slovenia","SVN",22.3333333333333,22.3333333333333,31.4242424242424,0,-9.09090909090909,0.655737704918032,0,1.85884814176717
"161","Sweden","SWE",18.6666666666667,17.3333333333333,20.3030303030303,1.33333333333334,-1.63636363636363,0,6.91461267605635,0
"162","Eswatini","SWZ",48.6666666666667,48,52.5454545454546,0.666666666666664,-3.87878787878789,5.83606557377049,3.6575704225352,6.14755107063746
"163","Seychelles","SYC",43.3333333333333,40,44.2424242424242,3.33333333333334,-0.909090909090907,4.78688524590164,7.97095070422536,4.46160472557224
"164","Syria","SYR",95.6666666666667,95.6666666666667,94.9090909090909,0,0.757575757575751,10,10,10
"165","Chad","TCD",51.3333333333333,49.6666666666667,52.6969696969697,1.66666666666667,-1.36363636363636,6.36065573770492,7.31073943661973,6.17831651489048
"166","Togo","TGO",45.3333333333333,48.6666666666667,50.030303030303,-3.33333333333333,-4.6969696969697,5.18032786885246,2.46919014084507,5.63684469603741
