Country,Fr_political_regime_type,Fr_political_terror_scale,Fr_institutions_WGI_gov,Fr_institutions_VDEM_corrupt,Fr_security_neighbour_conflict,Fr_security_yrsinceconf,Fr_inequality_ethnic,Fr_inequality_social_power,Fr_socialtension_fractions,Fr_economic_gdp,Fr_economic_natural_resource,Fr_number_flags,Fr_at_risk,Fr_in_conflict,Fr_not_at_risk
Morocco,-4,2.444444418,48.39743423,0.485333323,1,30,0.407999992,-0.52366668,0.484100014,8.98413372,1.822720408,2,,,Not At Risk
Mozambique,5,2.888888836,18.42948723,0.535333335,0,1,0.097999997,-1.089333296,0.693199992,7.11106348,18.84356308,4,,In Conflict,
Myanmar,8,4.833333492,14.42307663,0.406333327,1,1,0.306999981,-0.424222231,0.506200016,8.630654335,7.014857292,5,,In Conflict,
Namibia,6,1.333333373,61.05769348,0.172666669,0.333333343,69,0.092999995,-0.862999976,0.6329,9.316487312,4.397332668,0,,,Not At Risk
Nauru,.,1.333333373,32.37179565,.,0,69,.,.,.,9.497610092,0,0,,,Not At Risk
Nepal,6,2.22222209,19.07051277,0.710333347,1,13,0.5,-1.35244441,0.663200021,7.795030117,1.190794945,4,At Risk,,
Netherlands,10,1,96.63461304,0.027333334,0,57,0,-2.079444408,0.105400003,10.81323338,0.338938981,0,,,Not At Risk
New Caledonia,.,.,.,.,0,69,.,.,.,.,.,0,,,Not At Risk
New Zealand,10,1,95.99359131,0.017999999,0,69,0.092,-1.880999923,0.396899998,10.56370735,1.033220768,0,,,Not At Risk
Nicaragua,6,3,26.28205109,0.803000033,0,29,0.127000004,-0.004777779,0.484400004,8.556323051,3.519354105,2,,,Not At Risk
Niger,5,3.5,26.28205109,0.628666699,1,1,0.003333333,-1.229555607,0.651799977,6.796789169,13.34413528,6,,In Conflict,
Nigeria,7,4.055555344,14.90384579,0.747666657,1,1,0.13000001,-0.347888887,0.850499988,8.386019707,7.40218401,6,,In Conflict,
Northern Mariana Islands,.,.,.,.,0,69,.,.,.,.,0,0,,,Not At Risk
Norway,10,1,98.87820435,0.011666667,0,69,0,-2.567111015,0.058600001,10.95935631,5.326073647,0,,,Not At Risk
Oman,-8,2.111111164,61.53845978,0.20266667,1,44,0,0.576333344,0.437299997,10.26371002,22.21450615,3,,,Not At Risk
Pakistan,7,3.611111164,30.28846169,0.751333356,1,1,0.284999996,0.206111118,0.709800005,8.535478592,1.011617899,6,,In Conflict,
Palau,.,1,41.9871788,.,0,69,.,.,0.431199998,9.737643242,0,0,,,Not At Risk
Panama,9,1,55.60897446,0.549333334,0.666666687,30,0.197999999,-0.624444425,0.5528,10.00774384,0.197766215,1,,,Not At Risk
Papua New Guinea,5,2.555555582,24.35897446,0.673666656,0.333333343,23,0.034000002,0.027777769,0.271800011,8.260105133,22.00736809,2,,,Not At Risk
Paraguay,9,2,20.5128212,0.778666675,0,30,0.02,-0.070333339,0.168899998,9.027637482,1.593980074,1,,,Not At Risk
Peru,9,2,47.75641251,0.482333332,0.666666687,9,0.423000008,-1.024000049,0.656599998,9.381052017,8.388625145,3,,,Not At Risk
Philippines,8,4.722222328,51.92307663,0.65866667,0,1,0.126000002,-0.010888888,0.238499999,8.940408707,1.215761065,2,,In Conflict,
Poland,10,1.666666627,73.87820435,0.126000002,1,69,0.015000001,-1.691999912,0.118299998,10.25298119,0.91486311,1,,,Not At Risk
Portugal,10,1.166666627,86.85897064,0.131333336,0,69,0,-2.257999897,0.046799999,10.20867157,0.323905379,0,,,Not At Risk
Puerto Rico,.,1.5,55.76922989,.,0,69,.,.,.,10.4734211,0,0,,,Not At Risk
