Country,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Economic Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS
CYP,8.7,0,6.4,0,2.8,2.4,4.3,0.1,0,0.1,2.5,0.3,1.5,0.3,0.6,9.1,0.1,0.2,0,3.5,1.1,6.6,4.2,x,3.7,3.7,1.2,0.1,2,1.1,2.5,3,Low
CZE,0.9,5.3,0,0,1.4,1.2,1.7,0.1,0,0.1,0.9,0,0.9,0.3,0.3,2.1,0.1,0.2,0,1.5,0.5,1.3,0.8,2.5,3.9,3.2,1.5,0,0.4,0.6,2,1.1,Very Low
DNK,0.1,2.3,0,0,3.5,1.6,1.3,0,0,0,0.7,0,0.7,0.1,0.2,5.2,0.1,0.3,0,1.2,0.4,3.2,1.8,2.7,1.2,2,1.3,0,0.2,0.5,1.3,1.2,Very Low
DJI,5.3,0.4,8.5,0,8.1,4.8,5.4,2.6,0,1.8,3.8,7.5,4.1,3.7,5.7,5.3,1.9,5.5,10,6.2,7,6.2,6,5.5,6.9,6.2,5.5,6,6.2,5.9,6.1,5.2,High
DMA,4,0.1,8.5,7.6,0,3.8,4.9,0,0,0,2.8,3.2,x,4.4,3.6,0,0.3,2.7,0,2.2,1.4,0.7,2.3,x,5,5,2.6,1.1,5.7,3.1,4.1,3,Low
DOM,9.7,4.6,6.4,7.9,0.5,5.9,6.7,4.3,0,3,5.1,3.7,5.2,1,3.4,6.3,1.3,1.6,0.3,2.1,1.3,4.2,3.8,4.6,6.5,5.6,2.5,2.2,4.8,3.2,4.5,4.4,Medium
ECU,9.8,6.7,9.2,0,3.6,4.9,6.9,2.9,0,2,4.9,3.8,5.2,0.7,3.4,8.4,0.4,1.1,1,3.1,1.5,6,4.8,3,6,4.5,2.9,3.4,3.9,3.4,4,4.5,Medium
EGY,4.9,8.1,7.2,0,2.3,3.2,4.9,9.3,7,7,6.1,4.4,3.8,1.2,3.5,6.6,0.3,1.6,0,0.5,0.6,4.2,3.9,4.2,6.3,5.3,3.8,3.4,4.3,3.8,4.6,4.8,Medium
SLV,9.7,3,8.2,3.7,3.6,5.7,6.5,3.7,0,2.6,4.8,5.1,4.3,3.1,4.4,6,1.1,1.1,4,2.9,2.4,4.4,4.4,5.2,6.2,5.7,2.9,2.2,4.5,3.2,4.6,4.6,Medium
GNQ,0.1,4.4,0,0,3.3,6.7,2.9,1.6,0,1.1,2,6.2,x,0.4,4.3,0,5.9,3.8,0,4.3,3.8,2.1,3.3,x,8.1,8.1,5,6.6,7.5,6.4,7.3,3.6,Medium
ERI,3.4,3.1,0,0,7,5.9,3.7,9.8,0,6.9,5.5,8.8,x,0.4,6,1.1,1.1,6,0,5.5,3.6,2.4,4.4,x,8.2,8.2,7.2,9.7,5.4,7.4,7.8,5.7,High
EST,0.1,3.6,0,0,0,1,0.9,0,0,0,0.5,0.2,1.2,0.3,0.5,1.1,0.1,0.2,0,1.6,0.5,0.8,0.7,x,2.6,2.6,0.9,0.1,1.2,0.7,1.7,0.8,Very Low
SWZ,0.1,4.2,0,0.2,5.1,3.6,2.5,2.1,0,1.5,2,6.5,7.5,1.4,5.5,2.3,5.1,2.6,10,5.1,6.8,4.9,5.2,4.4,6.6,5.5,4.3,5.6,6.3,5.4,5.5,3.9,Medium
