"","NH_UKMO_Country","NH_UKMO_TOTAL.RISK.NEXT.12.MONTHS","NH_UKMO_TOTAL.RISK.NEXT.6.MONTHS","NH_UKMO_Temperature","NH_UKMO_Rainfall","NH_UKMO_Tropical.Cyclone","NH_UKMO_Temperature..1.Warmer..5.Near.normal.","NH_UKMO_Rainfall..2.Wetter..3.Drier..5.Near.normal.","NH_UKMO_Tropical.Cyclone..5.TC.forecast.","NH_UKMO_INFORM_RISK_Flood","NH_UKMO_INFORM_RISK_Tropical.Cyclone.1","NH_UKMO_INFORM_RISK_Drought","NH_UKMO_INFORM_RISK_Locust..based.on.FAO.forecasts.","NH_INFORM_RISK_UKMO_Vuln","NH_UKMO_INFORM_OCCURENCExRISK12m_Flood","NH_UKMO_INFORM_OCCURENCExRISK12m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK12m_Drought","NH_UKMO_INFORM_OCCURENCExRISK12m_Locust","NH_UKMO_X","NH_UKMO_INFORM_OCCURENCExRISK6m_Flood","NH_UKMO_INFORM_OCCURENCExRISK6m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK6m_Drought","NH_UKMO_INFORM_OCCURENCExRISK6m_Locust","NH_UKMO_INFORM_OCCURENCExRISK6mplusCLIMATE_Flood","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Tropical.Cyclone","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Drought","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Locust"
"52","BLZ",26,33.5,NA,NA,"TC risk",NA,NA,4,8.4,7.2,1,0,3.1,26.04,22.32,3.1,0,"0",0,22.32,0,0,0,33.48,0,0
"53","CRI",9.6,8.3,NA,NA,"TC risk",NA,NA,4,3.3,1.9,1,0,2.9,9.57,5.51,2.9,0,"0",0,5.51,0,0,0,8.265,0,0
"54","SLV",11.1,16.7,NA,NA,"TC risk",NA,NA,4,3,3.7,3.7,0,3,9,11.1,11.1,0,"0",9,11.1,11.1,0,9,16.65,11.1,0
"55","GTM",30.1,39.8,NA,NA,"TC risk",NA,NA,4,5.1,4.5,3.8,0,5.9,30.09,26.55,22.42,0,"0",30.09,26.55,22.42,0,30.09,39.825,22.42,0
"56","HND",27.5,34.8,NA,NA,"TC risk",NA,NA,4,5.1,4.3,4.6,0,5.4,27.54,23.22,24.84,0,"0",27.54,23.22,24.84,0,27.54,34.83,24.84,0
"57","MEX",29.3,43.9,NA,NA,"TC risk",NA,NA,4,7.2,7.7,3.8,0,3.8,27.36,29.26,14.44,0,"0",0,29.26,0,0,0,43.89,0,0
"58","NIC",18.4,19.4,NA,NA,"TC risk",NA,NA,4,5.1,3.6,4.1,0,3.6,18.36,12.96,14.76,0,"0",18.36,12.96,14.76,0,18.36,19.44,14.76,0
"59","PAN",8.4,10.1,NA,NA,"TC risk",NA,NA,4,3,2.4,1.3,0,2.8,8.4,6.72,3.64,0,"0",8.4,6.72,0,0,8.4,10.08,0,0
"60","ARG",11.7,0,NA,NA,NA,NA,NA,NA,6.5,0,3.3,0,1.8,11.7,0,5.94,0,"x",0,0,0,0,0,0,0,0
"61","BOL",18.7,18.7,NA,NA,NA,NA,NA,NA,5.5,0,4.1,0,3.4,18.7,0,13.94,0,"0",18.7,0,13.94,0,18.7,0,13.94,0
"62","BRA",27.5,0,NA,NA,NA,NA,NA,NA,8.1,0,4.5,0,3.4,27.54,0,15.3,0,"x",0,0,0,0,0,0,0,0
"63","CHL",11.2,0,NA,NA,NA,NA,NA,NA,5.6,0,0.3,0,2,11.2,0,0.6,0,"x",0,0,0,0,0,0,0,0
"64","COL",41.5,41.5,NA,NA,NA,NA,NA,NA,6.8,4.1,1.9,0,6.1,41.48,25.01,11.59,0,"0",41.48,25.01,11.59,0,41.48,25.01,11.59,0
"65","ECU",24.8,24.8,NA,NA,NA,NA,NA,NA,6.7,0,2.8,0,3.7,24.79,0,10.36,0,"0",24.79,0,0,0,24.79,0,0,0
