Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Cabo Verde,CPV,8.14,6.25,0,0,3.1569230769230767,0,3.4019200000000005,1.5419999999999998,3.612880095641139,0,6.363636363636363,NA,NA,3,0,NA,0,0,4.523135614078269,7.046654929577478,0.8333333333333339,NA,0,0,0,6.714285714285714,0,NA,0,NA,6.12966820195315
Costa Rica,CRI,4.98,3.5,0,0,3.4461538461538455,0,10,4.43,7.382363709398087,0,3.3971291866028706,NA,NA,1,0,0,0,0,2.652596603494956,4.449823943661971,8.333333333333334,NA,0,0,7,3.1428571428571423,10,10,7,3.7884474254789797,7.000000000000001
Cuba,CUB,6.959999999999999,3.5,6.650195062019764,2.7449733580617632,1.7707692307692309,0,10,2.952,5.439730491532212,0,4.330143540669857,NA,NA,NA,0,0,0,0,10,10,7.666666666666666,NA,0,0,0,3.1428571428571423,NA,NA,0,NA,NA
Cyprus,CYP,5.3999999999999995,3.25,10,0,3.333846153846154,0,10,1.9299999999999997,7.117698112223462,0,2.1291866028708126,NA,NA,1,0,0,NA,0,4.11703174993847,0,5.5,NA,0,0,0,0.8571428571428559,3.0933333333333337,NA,3,NA,NA
Czech Republic,CZE,3.5999999999999996,3.5,0.15071218162115052,0,4.295384615384616,0,0.5629600000000003,0.37400000000000055,10,0,0,NA,NA,3,0,0,0,0,2.535687915333499,0,1.1666666666666679,NA,0,0,0,0.4285714285714288,3.663333333333334,NA,3,NA,NA
Germany,DEU,0.7999999999999989,0.5,0,0,1.7307692307692317,0,0.2848000000000006,0.8019999999999996,4.389309674192852,0,0,NA,NA,3,0,0,0,0,0,0,2.5,0,0,0,0,0.5714285714285712,3.780000000000001,NA,3,NA,NA
Djibouti,DJI,9.36,8.75,0,0,5.481538461538462,0,0.040480000000000516,0,2.3158793087217084,0,8.253588516746412,NA,NA,5,0,NA,0,0,5.599926162933795,5.638204225352116,7.333333333333334,NA,5,0,0,8.142857142857142,NA,NA,0,1.6976056780133923,2.8334768108410024
Dominica,DMA,9.2,5.5,NA,NA,5.576923076923077,0,0.07936000000000121,0,0.6100284051331872,0,5.502392344497608,NA,NA,1,0,0,0,0,NA,NA,6.500000000000001,NA,0,0,0,5.142857142857143,NA,NA,0,NA,NA
Denmark,DNK,0,0.25,0.6320308743851726,0,4.166153846153846,0,2.8392799999999996,0.1980000000000004,3.564452771041399,10,0,NA,NA,1,0,0,0,0,0,7.530809859154937,0.5,NA,0,0,0,0.2857142857142865,3.860000000000001,NA,3,NA,NA
Dominican Republic,DOM,6.340000000000001,5.75,0,1.0069697550994299,2.292307692307693,0,3.09736,1.3439999999999994,4.956583433431737,0,4.593301435406698,NA,NA,3,0,0,0,0,5.4768643859217345,7.970950704225362,9.5,NA,0,0,0,4.857142857142857,10,NA,0,6.155405952816918,7.5
