"","Country","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020-2019"
"110","Philippines","-0.39","-1.629","-1.9","-3.4","-2.7","-1.4"
"111","Poland","-1.459","-0.238","-0.7","-6.7","-3.5","-6.0"
"112","Qatar","-2.937","5.178","4.1","5.3","1.4","1.2"
"113","Romania","-2.832","-2.819","-4.6","-8.9","-7.0","-4.3"
"114","Russia","-1.469","2.91","1.9","-4.8","-3.0","-6.8"
"115","Rwanda","-2.548","-2.607","-5.2","-8.1","-4.6","-2.9"
"116","Samoa","-2.089","0.07","2.7","-9.1","-5.9","-11.8"
"117","São Tomé and Príncipe","-2.689","-1.883","-1.8","-4.5","-1.9","-2.7"
"118","Saudi Arabia","-9.236","-5.871","-4.5","-12.6","-9.0","-8.1"
"119","Senegal","-2.969","-3.644","-3.9","-5.6","-3.3","-1.8"
"120","Serbia","1.372","0.812","0.0","-7.0","-0.3","-7.0"
"121","Seychelles","0.483","0.194","0.9","-14.1","-5.7","-15.0"
"122","Sierra Leone","-8.782","-5.613","-2.9","-5.6","-5.4","-2.7"
"123","Solomon Islands","-4.478","0.676","-2.7","-7.3","-7.8","-4.6"
"124","Somalia",NA,NA,NA,NA,NA,"n/a"
"125","South Africa","-4.38","-4.144","-6.3","-13.3","-12.7","-7.0"
"126","South Sudan","3.311","-0.643","-0.3","-2.7","-1.2","-2.4"
"127","Sri Lanka","-5.503","-5.296","-6.8","-9.4","-8.3","-2.7"
"128","St. Kitts and Nevis","0.538","1.151","3.9","-6.8","-4.4","-10.7"
"129","St. Lucia","-2.215","-0.997","-2.2","-8.2","-3.3","-6.0"
"130","St. Vincent and the Grenadines","-0.449","-0.9","-2.4","-7.7","-9.7","-5.3"
"131","Sudan","-6.473","-7.877","-10.8","-16.9","-20.6","-6.1"
"132","Suriname","-8.83","-7.095","-8.5","-6.9","-9.9","1.6"
"133","Syria","n/a","n/a","n/a","n/a","n/a","n/a"
"134","Tajikistan","-5.965","-2.781","-2.1","-6.4","-3.0","-4.3"
"135","Tanzania","-1.158","-1.933","-2.9","-3.8","-4.4","-0.9"
"136","Thailand","-0.425","0.064","-0.8","-3.4","-1.7","-2.6"
"137","Timor-Leste","-33.384","-28.015","-32.1","-27.5","-38.9","4.5"
"138","Togo","-0.277","-0.775","2.1","-4.1","-1.6","-6.2"
"139","Tonga","3.242","2.819","1.0","-2.4","-1.5","-3.4"
"140","Trinidad and Tobago","-11.083","-5.991","-3.7","-10.9","-7.6","-7.2"
"141","Tunisia","-5.94","-4.578","-3.9","-4.3","-2.5","-0.4"
"142","Turkey","-2.199","-3.666","-5.3","-7.5","-6.7","-2.2"
"143","Turkmenistan","-2.838","-0.215","-0.3","-2.3","-0.5","-2.0"
"144","Tuvalu","3.213","32.038","-8.6","-25.5","-18.5","-16.9"
"145","Uganda","-3.21","-3.802","-6.7","-6.8","-6.6","-0.1"
"146","Ukraine","-2.191","-2.151","-2.0","-8.2","-5.3","-6.2"
"147","United Arab Emirates","-1.991","1.966","-0.8","-11.1","-7.1","-10.3"
"148","Uruguay","-2.705","-2.025","-2.9","-4.7","-3.8","-1.8"
"149","Uzbekistan","1.59","2.143","0.0","-3.3","-1.3","-3.3"
"150","Vanuatu","-1.2","7.589","5.3","-13.7","-4.8","-18.9"
"151","Venezuela","-16.641","-31.304","-10.0","n/a","n/a","n/a"
"152","Vietnam","-1.964","-3.461","-3.3","-5.2","-4.1","-1.9"
"153","Yemen","-5.339","-6.68","-3.8","-8.0","-8.1","-4.2"
"154","Zambia","-7.713","-8.228","-7.6","-5.7","-6.9","1.9"
"155","Zimbabwe","-8.113","-4.499","-2.6","-4.9","-1.5","-2.4"
