"","Country","M_Fuel_Imports_perc","M_Food_Imports_perc","M_Travel_Tourism_perc","M_Remittance_perc","M_Reserves","M_ODA_perc","M_Gsavings_perc"
"154","MHL",NA,NA,NA,4,NA,8,2.8
"155","MIC",4,3,NA,0,2,NA,2.8
"156","MKD",4,4,3,0,0.6,0,2.8
"157","MLI",NA,NA,3,3,NA,8,4.3
"158","MLT",6,4,5,0,0,NA,3
"159","MMR",5,4,3,0,0.5,4,2.7
"160","MNA",NA,NA,NA,0,3.8,NA,NA
"161","MNE",4,5,5,4,0.4,NA,4.9
"162","MNG",5,4,4,0,0.3,5,3.4
"163","MNP",NA,NA,NA,NA,NA,NA,NA
"164","MOZ",5,4,3,0,0.4,9,4.9
"165","MRT",NA,NA,NA,0,0.5,NA,3.5
"166","MUS",5,5,5,0,0.6,0,4.2
"167","MWI",NA,NA,3,0,0.4,10,5.7
"168","MYS",4,3,4,0,0.8,0,3
"169","NAC",3,3,NA,0,0.2,NA,4
"170","NAM",4,4,4,0,0.5,0,4.9
"171","NCL",NA,NA,NA,NA,NA,NA,NA
"172","NER",NA,NA,0,0,NA,NA,3.9
"173","NGA",5,4,3,3,0.8,NA,4.3
"174","NIC",4,4,4,4,0.5,5,3.4
"175","NLD",4,4,3,0,0.1,NA,2.9
"176","NOR",3,3,3,0,0.7,NA,2.5
"177","NPL",NA,NA,3,5,1.5,5,1.7
"178","NRU",NA,NA,NA,3,NA,5,NA
"179","NZL",4,4,4,0,0.5,NA,3.7
"180","OED",4,3,NA,0,1.3,NA,3.6
"181","OMN",3,4,3,0,1,NA,4.7
"182","OSS",4,4,NA,0,0.9,NA,2.5
"183","PAK",5,4,3,3,0.7,NA,3.5
"184","PAN",NA,NA,4,0,0.2,NA,3.1
"185","PER",4,4,3,0,2,0,3.9
"186","PHL",4,4,5,4,1.3,0,1.4
"187","PLW",5,5,NA,0,NA,4,3.9
"188","PNG",NA,NA,0,0,0.8,4,NA
"189","POL",3,3,0,0,0.8,NA,3.9
"190","PRE",NA,NA,NA,0,1.2,NA,4.3
"191","PRI",NA,NA,3,NA,NA,NA,NA
"192","PRK",NA,NA,NA,NA,NA,NA,NA
"193","PRT",4,4,4,0,0.4,NA,4.2
"194","PRY",4,3,0,0,1,0,3.5
"195","PSE",NA,NA,NA,4,0.1,10,5.3
"196","PSS",4,4,NA,3,0.8,NA,NA
"197","PST",4,3,NA,0,1.3,NA,3.6
"198","PYF",NA,NA,NA,NA,NA,NA,NA
"199","QAT",0,4,3,0,0.8,NA,1.4
"200","ROU",3,3,3,0,0.8,NA,3.7
"201","RUS",0,4,3,0,1.9,NA,3.3
"202","RWA",NA,NA,4,0,0.5,8,4.8
"203","SAS",6,3,NA,0,1.2,NA,2.7
"204","SAU",0,4,3,0,4.5,NA,3.1
"205","SDN",NA,NA,3,0,0,NA,4.7
"206","SEN",5,5,3,4,NA,NA,3.7
"207","SGP",5,0,4,NA,0.8,NA,1.3
"208","SLB",4,5,4,0,1.2,7,NA
"209","SLE",NA,NA,0,0,0.6,NA,7.4
"210","SLV",4,4,4,5,0.5,0,4.5
"211","SMR",NA,NA,NA,NA,NA,NA,NA
"212","SOM",NA,NA,NA,NA,NA,10,NA
"213","SRB",NA,NA,3,3,0.7,NA,4.2
"214","SSA",4,4,NA,0,0.8,NA,4.1
"215","SSD",NA,NA,NA,NA,0,NA,NA
"216","SSF",4,4,NA,0,0.8,NA,4.1
"217","SST",4,4,NA,0,0.9,NA,2.6
"218","STP",5,5,5,0,0.6,NA,NA
"219","SUR",0,4,0,0,0.3,NA,NA
"220","SVK",3,3,3,0,0.1,NA,3.6
"221","SVN",3,3,4,0,0,NA,3.5
"222","SWE",4,4,3,0,0.4,NA,3
"223","SWZ",NA,NA,3,0,0.5,NA,3.4
"224","SXM",NA,NA,NA,NA,NA,NA,NA
"225","SYC",5,5,8,0,0.5,NA,4.5
"226","SYR",NA,NA,4,NA,NA,NA,NA
"227","TCA",NA,NA,NA,0,NA,NA,NA
"228","TCD",NA,NA,0,NA,NA,NA,NA
"229","TEA",4,3,NA,0,2.2,NA,1.5
"230","TEC",3,3,NA,0,1.4,NA,3.5
"231","TGO",NA,NA,3,3,NA,7,3.6
"232","THA",4,3,5,0,1.2,0,2.8
"233","TJK",NA,NA,3,6,0.4,NA,3.7
"234","TKM",NA,NA,NA,0,NA,NA,NA
"235","TLA",4,3,NA,0,1.6,NA,4.2
"236","TLS",NA,NA,NA,0,0.4,5,4.5
"237","TMN",NA,NA,NA,0,3.8,NA,NA
"238","TON",NA,NA,4,6,1.1,8,NA
"239","TSA",6,3,NA,0,1.2,NA,2.7
