"","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm"
"112","MEX",57.6,0,57.6,0,56543,99798,782,43255,76,83091,137566,10,5.67334575955266,-12.3415197313182,0.378223050636844,0
"113","FSM",32.8,10,32.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","MDA",42.9,10,42.9,0,895,1409,349,514,57,1090,2065,8.30465587044534,-0.925925925925923,10.9516091687891,0,0.730107277919272
"115","MCO",32.7,10,32.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.363636363636,NA,9.09090909090909
"116","MNG",49.5,10,49.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.6666666666667,NA,0
"117","MNE",43.7,10,43.7,0,NA,NA,NA,NA,NA,NA,NA,NA,13.6363636363636,-50.3259452411995,0.90909090909091,0
"118","MAR",43.7,10,43.7,0,632,3267,90,2635,417,1366,7242,1.75101214574899,170.408163265306,100.025,10,6.66833333333333
"119","MOZ",28.1,10,28.1,0,NA,NA,NA,NA,NA,NA,NA,NA,700,87.2881355932203,10,5.81920903954802
"120","MMR",43.4,10,43.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,5
"121","NAM",35.6,10,35.6,0,NA,NA,NA,NA,NA,NA,NA,NA,166.666666666667,64.8383937316356,10,4.32255958210904
"122","NRU",20.8,10,20.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","NPL",35.1,10,35.1,0,NA,NA,NA,NA,NA,NA,NA,NA,187.5,129.605263157895,10,8.64035087719298
"124","NLD",75.6,0,75.6,0,6191,6564,380,373,6,6217,8013,9.08906882591093,400,144.525547445255,10,9.63503649635036
"125","NZL",54,0,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.666666666667,NA,10
"126","NIC",43.1,10,43.1,0,NA,NA,NA,NA,NA,NA,NA,NA,-29.4117647058824,-15.6190476190476,0,0
"127","NER",32.2,10,32.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.37499999999999,NA,0
"128","NGA",37.8,10,37.8,0,974,1334,7,360,37,1047,2087,0,-13.3333333333333,-29.5693135935397,0,0
"129","NIU",20.5,10,20.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","KOR",17.5,10,17.5,0,305,371,7,66,22,305,601,0,-33.3333333333333,66.1590524534687,0,4.41060349689791
"131","MKD",39.1,10,39.1,0,NA,NA,NA,NA,NA,NA,NA,NA,-41.7721518987342,-7.29772607086199,0,0
"132","NOR",64.6,0,64.6,0,261,306,57,45,17,269,417,0.915991902834008,Inf,232.642487046632,10,10
"133","OMN",43.1,10,43.1,0,NA,NA,NA,NA,NA,NA,NA,NA,24.7787610619469,-72.4276821677041,1.65191740412979,0
"134","PAK",35.5,10,35.5,0,6162,7043,33,881,14,6306,8237,0.308704453441296,-43.3420365535248,-29.6914038760213,0,0
"135","PLW",21.9,10,21.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","PAN",43.7,10,43.7,0,1746,2793,658,1047,60,2110,4024,10,-21.4285714285714,1.13298399660105,0,0.0755322664400691
"137","PNG",27.8,10,27.8,0,NA,NA,NA,NA,NA,NA,NA,NA,-50,136.842105263158,0,9.12280701754386
"138","PRY",35.7,10,35.7,0,NA,NA,NA,NA,NA,NA,NA,NA,226.086956521739,109.913793103448,10,7.32758620689655
"139","PER",49.2,10,49.2,0,25856,35886,1104,10030,39,28671,48277,10,4.00936037441498,42.5642860091081,0.267290691627666,2.83761906727387
"140","PHL",47.6,10,47.6,0,2600,7358,68,4758,183,3932,14780,1.19433198380567,110.902255639098,81.2621477162294,7.39348370927318,5.41747651441529
"141","POL",55.4,0,55.4,0,1869,2958,78,1089,58,2150,4593,1.44736842105263,43.6893203883495,47.6363636363636,2.9126213592233,3.17575757575757
"142","PRT",60.3,0,60.3,0,1775,2054,200,279,16,1786,2668,4.53441295546559,-28.3018867924528,-8.52739726027398,0,0
"143","QAT",41.2,10,41.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-9.99999999999999,-15.3160981968281,0,0
"144","ROU",45.8,10,45.8,0,2954,6636,342,3682,125,4287,11060,8.12753036437247,55.4054054054054,11.9520103761349,3.69369369369369,0.796800691742327
"145","RUS",44.3,10,44.3,0,15585,22149,152,6564,42,17668,31465,3.31983805668016,-9.14918414918414,-1.97031002611743,0,0
"146","RWA",34.2,10,34.2,0,NA,NA,NA,NA,NA,NA,NA,NA,Inf,-38.3697813121272,10,0
"147","WSM",26.4,10,26.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","SMR",31.1,10,31.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,10
"149","STP",17.7,10,17.7,0,NA,NA,NA,NA,NA,NA,NA,NA,-100,-91.6030534351145,0,0
"150","SAU",49.3,10,49.3,0,3369,4938,144,1569,47,3919,7094,3.11740890688259,19.5238095238095,-31.7424815910811,1.3015873015873,0
"151","SEN",37.9,10,37.9,0,NA,NA,NA,NA,NA,NA,NA,NA,-8.69565217391304,8.23529411764706,0,0.549019607843139
"152","SRB",52.3,0,52.3,0,670,1037,149,367,55,811,1478,3.24392712550607,-27.2727272727273,-33.3395245170877,0,0
"153","SYC",31.9,10,31.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.14285714285714,NA,0
"154","SLE",38.2,10,38.2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,7.37704918032788,0,0.491803278688526
"155","SGP",58.7,0,58.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.1657401688285,NA,0
"156","SVK",47.9,10,47.9,0,31,46,8,15,48,33,82,0,100,43.4903047091413,6.66666666666667,2.89935364727609
"157","SVN",67.2,0,67.2,0,129,184,88,55,42,140,280,1.70040485829959,16.6666666666667,-0.432900432900442,1.11111111111111,0
"158","SLB",20.7,10,20.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","SOM",16.6,10,16.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.4356435643564,NA,0
"160","ZAF",54.8,0,54.8,0,11677,22525,385,10848,93,15634,32771,9.21558704453441,9.95319812792513,-47.2721785172986,0.663546541861676,0
"161","PRK",70.2,0,70.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","SSD",21.7,10,21.7,0,NA,NA,NA,NA,NA,NA,NA,NA,-66.6666666666667,-15.527950310559,0,0
"163","ESP",65.9,0,65.9,0,28617,29925,638,1308,5,28655,34750,10,640.923076923077,106.83917914611,10,7.12261194307397
"164","LKA",33.9,10,33.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.4324324324324,NA,0
"165","KNA",26.2,10,26.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","LCA",35.3,10,35.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0
"167","VCT",33,10,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.8181818181818,NA,0
"168","SDN",26.2,10,26.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-28.7671232876712,-30.3534303534304,0,0
"169","SUR",36.5,10,36.5,0,NA,NA,NA,NA,NA,NA,NA,NA,166.666666666667,58.2345191040843,10,3.88230127360562
"170","SWE",72.1,0,72.1,0,5783,5947,581,164,3,5814,6054,10,-67.741935483871,23.2728430436167,0,1.55152286957444
"171","CHE",67,0,67,0,1991,2080,242,89,4,2003,2419,5.59716599190283,-50,20.5882352941176,0,1.37254901960784
"172","SYR",19.9,10,19.9,0,NA,NA,NA,NA,NA,NA,NA,NA,-5.55555555555557,220.306513409962,0,10
"173","TJK",32.3,10,32.3,0,NA,NA,NA,NA,NA,NA,NA,NA,33.3333333333333,-6.32090761750405,2.22222222222222,0
"174","TZA",36.4,10,36.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","THA",73.2,0,73.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.7647058823529,NA,0
"176","TLS",26,10,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,10
"177","TGO",32.5,10,32.5,0,NA,NA,NA,NA,NA,NA,NA,NA,100,-10.4166666666667,6.66666666666667,0
"178","TON",25.1,10,25.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","TTO",36.6,10,36.6,0,NA,NA,NA,NA,NA,NA,NA,NA,Inf,736.111111111111,10,10
