"","Country","S_% of respondents currently employed/working","S_% of respondents who have stopped working since COVID-19 outbreak","S_% able to access [staple food item] in the past 7 days when needed? - any staple food","S_% of HHs that saw reduced their remittances","S_% of HHs not able to perform normal farming activities (crop, livestock, fishing)","S_% of HHs able to pay rent for the next month","S_% of respondents who were not able to work as usual last week","S_Experienced decrease in wage income (% HHs with wage income as a source of livelihood in the past 12 months)","S_% of HHs that experienced change in total income - decrease","S_% of HHs used money saved for emergencies to cover basic living expenses","S_% of respondents received government assistance when experiencing labor income/job loss","S_% of HHs sold assets such as property during the pandemic in order to pay for basic living expenses","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)","S_In the last 30 days, your household worried about running out of food because of a lack of money or other resources?(%)","S_% of respondents currently employed/working_norm","S_% of respondents who have stopped working since COVID-19 outbreak_norm","S_% able to access [staple food item] in the past 7 days when needed? - any staple food_norm","S_% of HHs that saw reduced their remittances_norm","S_% of HHs not able to perform normal farming activities (crop, livestock, fishing)_norm","S_% of HHs able to pay rent for the next month_norm","S_% of respondents who were not able to work as usual last week_norm","S_Experienced decrease in wage income (% HHs with wage income as a source of livelihood in the past 12 months)_norm","S_% of HHs that experienced change in total income - decrease_norm","S_% of HHs used money saved for emergencies to cover basic living expenses_norm","S_% of respondents received government assistance when experiencing labor income/job loss_norm","S_% of HHs sold assets such as property during the pandemic in order to pay for basic living expenses_norm","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)_norm","S_In the last 30 days, your household worried about running out of food because of a lack of money or other resources?(%)_norm","S_phone_average_index","S_phone_average_index_norm"
"27","MNG",53.3907699584961,18.8920402526855,NA,NA,2.33859539031982,NA,10.033597946167,37.6308135986328,NA,5.38162231445312,80.8881225585938,2.87603330612183,19.7489356994629,31.6444282531738,7.62725285121373,3.77840805053711,NA,NA,0.93543815612793,NA,4.0134391784668,7.52616271972656,NA,2.15264892578125,0,1.43801665306091,3.94978713989258,6.32888565063477,3.77500393254416,2.9583398875736
"28","MWI",69.0046615600586,11.6702728271484,71.998893737793,80.5778579711914,10.2879962921143,NA,17.5878028869629,86.1440734863281,80.5608673095703,NA,2.70268321037292,NA,71.2095108032227,70.6451034545898,9.85780879429409,2.33405456542969,10,10,4.1151985168457,NA,7.03512115478516,10,10,NA,10,NA,10,10,8.48565300285042,10
"29","NGA",80.6768112182617,NA,79.4695205688477,NA,NA,62.992073059082,15.5628709793091,NA,NA,27.7340087890625,NA,11.1684122085571,NA,NA,10,NA,10,NA,NA,7.40158538818359,6.22514839172363,NA,NA,10,NA,5.58420610427856,NA,NA,8.20182331403097,10
"30","PER",57.7586784362793,NA,98.8650054931641,NA,NA,64.2165603637695,8.56096267700195,NA,NA,13.138786315918,NA,3.3529155254364,21.8676300048828,NA,8.25123977661133,NA,0.567497253417969,NA,NA,7.15668792724609,3.42438507080078,NA,NA,5.25551452636719,NA,1.6764577627182,4.37352600097656,NA,4.38647261687687,3.97745436146146
"31","PNG",77.885368347168,22.1146278381348,92.8714981079102,31.4421977996826,4.12179279327393,NA,NA,50.8719444274902,NA,16.7417087554932,NA,5.42550849914551,NA,63.3688850402832,10,4.42292556762695,3.56425094604492,4.4917425428118,1.64871711730957,NA,NA,10,NA,6.69668350219727,NA,2.71275424957275,NA,10,5.94856376950703,6.58093961584505
"32","POL",78.0791015625,21.9209041595459,NA,NA,NA,NA,0,NA,39.4925193786621,NA,10.3092784881592,NA,NA,NA,10,4.38418083190918,NA,NA,NA,NA,0,NA,7.89850387573242,NA,9.29209620157878,NA,NA,NA,6.31495618184408,7.19159363640679
"33","PRY",67.1113586425781,NA,98.3896636962891,NA,NA,65.6409759521484,7.13257884979248,NA,NA,5.27341318130493,NA,5.57424592971802,12.5323190689087,NA,9.58733694893973,NA,0.805168151855469,NA,NA,6.87180480957031,2.85303153991699,NA,NA,2.10936527252197,NA,2.78712296485901,2.50646381378174,NA,3.93147050020646,3.2191175003441
"34","ROU",74.6892776489258,25.3107242584229,NA,NA,NA,NA,25.3107242584229,NA,37.7683639526367,NA,39.6549224853516,NA,NA,NA,10,5.06214485168457,NA,NA,NA,NA,10,NA,7.55367279052734,NA,5.37934366861979,NA,NA,NA,7.59903226216634,9.3317204369439
"35","SEN",47.8505630493164,35.9132843017578,NA,NA,NA,NA,NA,63.2487487792969,85.3540725708008,NA,NA,NA,NA,NA,6.83579472133091,7.18265686035156,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,8.50461289542062,10
"36","SLV",58.3376655578613,NA,95.9936141967773,NA,NA,60.508228302002,8.04950428009033,NA,NA,4.81923151016235,NA,1.28533983230591,18.3035259246826,NA,8.33395222255162,NA,2.00319290161133,NA,NA,7.89835433959961,3.21980171203613,NA,NA,1.92769260406494,NA,0.642669916152954,3.66070518493652,NA,3.95519555442187,3.25865925736979
"37","SSD",41.0552368164062,39.4160614013672,NA,NA,NA,NA,33.5260124206543,45.5319137573242,NA,NA,2.03562331199646,17.6422080993652,82.7212066650391,82.1963348388672,5.86503383091518,7.88321228027344,NA,NA,NA,NA,10,9.10638275146484,NA,NA,10,8.82110404968262,10,10,8.95946661404201,10
"38","TJK",NA,NA,NA,81.7073745727539,NA,NA,NA,NA,56.3583145141602,11.7769088745117,NA,5.08090686798096,29.3135967254639,49.0121612548828,NA,NA,NA,10,NA,NA,NA,NA,10,4.71076354980469,NA,2.54045343399048,5.86271934509277,9.80243225097656,7.15272809664408,8.58788016107347
"39","TUN",55.1854476928711,NA,NA,NA,NA,NA,20.0948123931885,NA,40.8219261169434,8.41255187988281,NA,NA,NA,NA,7.88363538469587,NA,NA,NA,NA,NA,8.03792495727539,NA,8.16438522338867,3.36502075195312,NA,NA,NA,NA,6.86274157932826,8.10456929888044
"40","UGA",70.1654739379883,18.7714614868164,NA,81.3267364501953,NA,NA,19.4860687255859,65.7644653320312,NA,24.3056392669678,9.19425010681152,1.68259370326996,34.2983093261719,57.8451919555664,10,3.75429229736328,NA,10,NA,NA,7.79442749023437,10,NA,9.72225570678711,9.44076665242513,0.841296851634979,6.85966186523437,10,7.84127008636792,9.73545014394654
"41","UZB",37.4142875671387,NA,NA,NA,NA,NA,NA,43.6055870056152,40.6090393066406,15.7455892562866,1.31508469581604,1.96655464172363,NA,NA,5.34489822387695,NA,NA,NA,NA,NA,NA,8.72111740112305,8.12180786132813,6.29823570251465,10,0.983277320861816,NA,NA,6.57822275161743,7.63037125269572
"42","VNM",67.0910339355469,3.36302900314331,NA,NA,10.3715438842773,NA,6.00559997558594,NA,69.5279922485352,NA,17.6574535369873,NA,NA,NA,9.58443341936384,0.672605800628661,NA,NA,4.14861755371094,NA,2.40223999023438,NA,10,NA,8.31233952840169,NA,NA,NA,5.85337271538992,6.4222878589832
"43","YEM",30.3840675354004,30.4998455047607,99.9451675415039,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5306854248047,NA,4.34058107648577,6.09996910095215,0.0274162292480469,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,5.11699160167149,5.19498600278582
"44","ZMB",53.9578132629395,26.1418609619141,85.9277038574219,NA,30.0516033172607,NA,24.6030426025391,33.2261848449707,60.5669136047363,NA,0.953180968761444,0.42235004901886,39.2712364196777,67.0794677734375,7.70825903756278,5.22837219238281,7.03614807128906,NA,10,NA,9.84121704101562,6.64523696899414,10,NA,10,0.21117502450943,7.85424728393555,10,7.68405960178995,9.47343266964991
