Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
DZA,9.28,5.418102503099674,1.5283400809716596,3.5068157427048865,0.5985200000000006,0.5280000000000005,3.598461538461538,4.75,0,0,23.6,0.555555555555556,22.925101214574898,52.60223614057329,14.963,0.264,56.61,3.9,0,0
ECU,3.9800000000000004,7.106825956322959,0,0,2.00936,2.7539999999999996,1.7630769230769214,4.75,0,0,50.1,0.668615225662745,-29.950887927861615,-18.257699737575553,50.234,1.377,68.54,3.9,0,0
EGY,6.0200000000000005,6.418970539125132,0,0,0.05696000000000012,0.3680000000000003,4.92,4,0,0,39.9,0.622563454189215,-38.04709303297181,-63.99512459371615,1.424,0.184,48.02,3.6,0,0
ERI,9.52,0,1.7094017094017087,0,0.3158000000000012,0.3219999999999992,4.455384615384616,9.75,0,0,22.4,0.18571952622054,25.64102564102564,-52.29507632127988,7.895,0.161,51.04,5.9,0,0
ESP,0.8199999999999985,0.03274848381817108,0,10,10,0.5619999999999994,3.918461538461538,2,0,0,65.9,0.195007268227491,-15.24576506525966,205.98408734759127,315.702,0.281,54.53,2.8,0,0
EST,2.5999999999999996,10,0,1.4647378284067116,1.2879999999999985,0.2159999999999993,6.138461538461538,2.5,0,0,57,1,-64.1025641025641,21.97106742610068,32.2,0.108,40.1,3,0,0
ETH,5.88,5.885361054168175,0,0,0.031599999999999184,0.02999999999999936,5.481538461538462,9.75,0,0,40.6,0.586838414532693,-53.68277739959155,-27.452354183978837,0.79,0.015,44.37,5.9,0,0
FIN,0.2599999999999998,4.714772332476336,3.386207288646313,9.206707897112523,1.6697199999999999,0.15399999999999991,3.9738461538461536,0.25,0,0,68.7,0.508467752685684,50.793109329694694,138.10061845668784,41.743,0.077,54.17,2.1,0,0
FJI,8.86,0,10,10,10,7.968,1.8353846153846156,5.249999999999999,0,0,25.7,0.101932237818838,214.76833976833976,173.94687758433608,693.375,3.984,68.07,4.1,0,0
FRA,0.35999999999999943,9.590943594003205,0,3.618376232931489,2.2420799999999996,0.7059999999999995,4.093846153846154,2.5,0,0,68.2,0.834926364462594,-34.19527916984928,54.275643493972325,56.052,0.353,53.39,3,0,0
FSM,7.44,NA,NA,NA,0,0,NA,NA,0,0,32.8,NA,NA,NA,0,0,NA,NA,0,0
GAB,10,5.978816524918553,4.110559077151505,0,0.22591999999999857,0.38599999999999923,3.2692307692307683,7.5,0,0,20,0.593095238095238,61.65838615727258,-15.350896539968046,5.648,0.193,58.75,5,0,0
GBR,0,3.84053277174229,5.202987752346949,7.8446463276115,10,0.8620000000000001,2.4923076923076923,1.5,10,0,77.9,0.449937603096901,78.04481628520425,117.6696949141725,460.844,0.431,63.8,2.6,10,0
GEO,3.5999999999999996,5.38763608038849,0,3.2655325264461297,10,7.52,3.10923076923077,5,0,0,52,0.553515835141596,-11.344070060857952,48.98298789669196,290.214,3.76,59.79,4,0,0
GHA,6.9,4.922767583196153,0.4756210973827564,8.736460572343745,0.23320000000000007,0.045999999999999375,5.4799999999999995,6.75,0,0,35.5,0.522392989754761,7.134316460741322,131.04690858515616,5.83,0.023,44.38,4.7,0,0
GIN,7.459999999999999,3.398109494263756,10,1.072530030665682,0.13488000000000078,0.10800000000000054,3.2046153846153844,10,10,0,32.7,0.42031746031746,869.2307692307692,16.08795045998523,3.372,0.054,59.17,6,10,0
GMB,7.16,0.5163784945122334,10,10,0.4800000000000004,0.47199999999999953,5.7215384615384615,9.25,0,0,34.2,0.227386192887204,330.7692307692308,332.8021802646762,12,0.236,42.81,5.7,0,0
GNB,10,NA,6.666666666674814e-4,6.666666666674814e-4,0.1916399999999996,0.1460000000000008,NA,10,0,0,20,NA,0.01,0.01,4.791,0.073,NA,6.2,0,0
GNQ,10,NA,0.5128205128205128,1.2187315892552917,0.12628000000000128,0,NA,9.75,0,0,16.2,NA,7.692307692307689,18.280973838829365,3.157,0,NA,5.9,0,0
GRC,3.24,4.512378440648886,0,10,7.0420799999999995,1.4260000000000002,3.2846153846153845,3.25,0,0,53.8,0.49491752538349,-49.97073212264837,222.1224761866745,176.052,0.713,58.65,3.3,0,0
GRD,8.5,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,27.5,NA,0.01,0.01,0,0,NA,3.6,0,0
GTM,7.459999999999999,6.072922757180111,0.5124082658462967,2.875337474153204,5.27204,4.017999999999999,4.647692307692308,7,0,0,32.7,0.599395630000268,7.686123987694428,43.13006211229804,131.801,2.009,49.79,4.8,0,0
GUY,7.66,0.587505008907792,0,0,4.17732,5.086,2.0830769230769244,4.25,0,0,31.7,0.232148097649104,-22.22379089185592,-20.851608767920933,104.433,2.543,66.46,3.7,0,0
HND,8.48,6.324727907550919,2.3278490107165686,1.6476936610879118,3.819280000000001,4.904,1.3938461538461553,7.250000000000001,0,0,27.6,0.616253930379691,34.91773516074853,24.715404916318683,95.482,2.452,70.94,4.9,0,0
HRV,3.3400000000000007,5.111687997485276,0,1.009035712095919,0.819840000000001,0.6259999999999994,5.207692307692308,3.75,0,0,53.3,0.535041170648603,-46.14058464317064,15.135535681438771,20.496,0.313,46.15,3.5,0,0
HTI,7.699999999999999,1.7013187538184766,0.5128205128205146,0,0.28163999999999945,0.8759999999999994,3.653846153846154,10,0,0,31.5,0.30671768707483,7.692307692307694,-34.249767305460985,7.041,0.438,56.25,6.6,0,0
HUN,3.1999999999999993,10,0,0,0.1419599999999992,0.3539999999999992,5.896923076923077,3.5,0,0,54,1,-74.74285448930786,-57.33107742990985,3.549,0.177,41.67,3.4,0,0
IDN,2.6799999999999997,4.677211459538965,7.712628662665582,6.309277866823855,5.07908,6.144,2.027692307692309,6.000000000000001,0,0,56.6,0.505953060362834,115.68942993998373,94.63916800235782,126.977,3.072,66.82,4.4,0,0
IND,4.699999999999999,4.415726992241089,0,0,1.1972799999999992,1.25,1.081538461538461,6.499999999999999,0,0,46.5,0.488446731807721,-41.83317017878304,-19.52416004366747,29.932,0.625,72.97,4.6,0,0
IRL,2.1999999999999993,4.168035739136462,0,3.207285384418964,4.149919999999999,0.34800000000000075,1.6830769230769231,2.5,0,0,59,0.471863855960883,-61.85735877125651,48.10928076628445,103.748,0.174,69.06,3,0,0
IRN,6.459999999999999,5.506086224956361,0.9432895749885493,3.2026132712778335,8.070879999999999,3.63,2.5553846153846145,4.25,0,0,37.7,0.561446046712609,14.149343624828237,48.03919906916749,201.772,1.815,63.39,3.7,0,0
