Country,F_Proteus_Score_norm,F_fews_crm_norm,F_fpv_rating,F_fao_wfp_warning,F_Proteus_Score_raw,F_fshighrisk_raw,F_fpv_raw,F_fao_wfp_warning_raw
NRU,NA,NA,NA,NA,NA,NA,NA,NA
NZL,1.8421052631578938,NA,NA,NA,0.235,NA,NA,NA
OMN,3.2296650717703344,NA,3,NA,0.293,NA,0.03,NA
PAK,6.626794258373206,NA,5,NA,0.435,NA,0.15,NA
PAN,5.095693779904306,NA,1,NA,0.371,NA,-0.01,NA
PER,6.650717703349283,NA,NA,NA,0.436,NA,NA,NA
PHL,7.2009569377990434,NA,NA,NA,0.459,NA,NA,NA
PLW,NA,NA,NA,NA,NA,NA,NA,NA
PNG,10,NA,NA,NA,0.607,NA,NA,NA
POL,0.7894736842105257,NA,3,NA,0.191,NA,0.05,NA
PRK,8.636363636363637,NA,NA,NA,0.519,NA,NA,NA
PRT,0,NA,3,NA,0.158,NA,0.03,NA
PRY,5.287081339712919,NA,1,NA,0.379,NA,-0.01,NA
QAT,0,NA,1,NA,0.119,NA,-0.01,NA
ROU,2.464114832535885,NA,NA,NA,0.261,NA,NA,NA
RUS,2.5837320574162685,NA,3,NA,0.266,NA,0.04,NA
RWA,9.066985645933016,NA,5,NA,0.537,NA,0.14,NA
SAU,2.392344497607656,NA,5,NA,0.258,NA,0.06,NA
SDN,10,8,NA,10,0.576,Not high risk,NA,10
SEN,7.392344497607657,NA,1,NA,0.467,NA,0.02,NA
SGP,0,NA,3,NA,0.101,NA,0.04,NA
SLB,9.138755980861246,NA,NA,NA,0.54,NA,NA,NA
SLE,9.641148325358854,NA,NA,10,0.561,NA,NA,10
SLV,4.976076555023924,NA,3,10,0.366,NA,0.03,10
SOM,10,10,NA,10,0.775,High risk,NA,10
SRB,3.8995215311004783,NA,3,NA,0.321,NA,0.04,NA
SSD,10,8,NA,10,0.752,Not high risk,NA,10
STP,8.205741626794259,NA,NA,NA,0.501,NA,NA,NA
SUR,5.526315789473685,NA,NA,NA,0.389,NA,NA,NA
SVK,0.8612440191387556,NA,3,NA,0.194,NA,0.03,NA
SVN,0.21531100478468979,NA,3,NA,0.167,NA,0.03,NA
SWE,1.555023923444974,NA,3,NA,0.223,NA,0.03,NA
SWZ,7.91866028708134,NA,3,NA,0.489,NA,0.05,NA
SYC,2.2009569377990426,NA,NA,NA,0.25,NA,NA,NA
SYR,6.172248803827751,NA,NA,10,0.416,NA,NA,10
TCD,10,7,NA,NA,0.648,Not high risk,NA,NA
TGO,8.684210526315791,NA,1,NA,0.521,NA,-0.01,NA
THA,3.5645933014354068,NA,1,NA,0.307,NA,0,NA
TJK,5.90909090909091,NA,NA,NA,0.405,NA,NA,NA
TKM,3.277511961722488,NA,NA,NA,0.295,NA,NA,NA
TLS,9.306220095693782,NA,1,NA,0.547,NA,0.01,NA
TON,4.521531100478469,NA,NA,NA,0.347,NA,NA,NA
TTO,2.8947368421052637,NA,NA,NA,0.279,NA,NA,NA
TUN,2.0574162679425836,NA,NA,NA,0.244,NA,NA,NA
TUR,0.45454545454545325,NA,5,NA,0.177,NA,0.13,NA
TUV,NA,NA,NA,NA,NA,NA,NA,NA
TZA,9.71291866028708,NA,3,NA,0.564,NA,0.04,NA
UGA,10,7,1,NA,0.593,Not high risk,0.02,NA
UKR,2.296650717703349,NA,NA,NA,0.254,NA,NA,NA
URY,3.133971291866028,NA,NA,NA,0.289,NA,NA,NA
USA,0.19138755980861255,NA,5,NA,0.166,NA,0.06,NA
UZB,3.2535885167464107,NA,NA,NA,0.294,NA,NA,NA
VCT,4.473684210526315,NA,1,NA,0.345,NA,0.01,NA
VEN,5.07177033492823,NA,NA,10,0.37,NA,NA,10
VNM,5.526315789473685,NA,5,NA,0.389,NA,0.12,NA
VUT,8.229665071770336,NA,NA,NA,0.502,NA,NA,NA
WSM,3.205741626794257,NA,1,NA,0.292,NA,-0.01,NA
YEM,10,10,NA,10,0.604,High risk,NA,10
ZAF,5.430622009569379,NA,3,NA,0.385,NA,0.04,NA
ZMB,8.708133971291867,3,5,NA,0.522,Not high risk,0.16,NA
ZWE,10,5,NA,10,0.581,Not high risk,NA,10
