Emerging_Health,Emerging_Food Security,Emerging_Socioeconomic Vulnerability,Emerging_Macro Fiscal,Emerging_Natural Hazard,Emerging_Conflict and Fragility,Emerging_Number of Emerging Threat Flags,Underlying_Health,Underlying_Food Security,Underlying_Maco Fiscal,Underlying_Socioeconomic Vulnerability,Underlying_Natural Hazard,Underlying_Conflict and Fragility,Overall_Health,Overall_Food Security,Overall_Macro Fiscal,Overall_Socioeconomic Vulnerability,Overall_Natural Hazard,Overall_Conflict and Fragility,Overall_Number of Overall Alert Flags,Underlying_Indicator Reliability,Emerging_Indicator Reliability
7.976,NA,8.45666666666667,9.02728873239439,0,3.22013520349946,1.5,6.4,2.29665071770335,8.64570514398228,2.14285714285714,3.66666666666667,0,7.144676339765154,NA,8.834436972998079,4.256927127803406,0,0,2,0,0.4
4.77538461538462,10,10,6.29841549295775,0,10,3,8.25,10,10,8.42857142857143,6.16666666666667,10,6.276696828501684,10,7.936255724809874,9.18072515031979,0,10,4.5,0,0.2
5.90615384615385,3,7,10,0,0,1.5,6.94,1.02870813397129,8.21498892444007,1.57142857142857,2,0,6.402242395622625,1.756736861887366,9.063657608515488,3.3166247903553985,0,0,1.5,0,0.3
10,NA,10,9.11531690140845,0,3.42472494907194,2.5,3.75,3.73205741626794,5.24920009844942,5,5,0,6.123724356957945,NA,6.917233722831035,7.0710678118654755,0,0,2,0,0.3
10,3,6.12966820195315,7.04665492957748,0,0,1.5,8.14,6.36363636363636,4.52313561407827,6.71428571428571,0.833333333333334,0,9.02219485491197,4.3693144875265135,5.645615632691629,6.415321008467574,0,0,2,0,0.3
10,10,10,4.8899647887324,0,10,4,10,10,7.26126015259661,9.71428571428571,10,10,10,10,5.958800757536963,9.856107606091621,0,10,4.5,0,0.1
6.32472790755092,10,5.34666666666667,2.24911971830987,0,10,2,8.48,6.14832535885167,3.84014275166134,7.71428571428572,9.16666666666667,0,7.323502758655301,7.84112578578591,2.938867262039278,6.422282638261442,0,0,2.5,0,0.2
10,NA,10,10,0,0,3,5.75,6.65071770334928,0.579005660841744,4.71428571428571,10,0,7.582875444051551,NA,2.4062536459021606,6.866065623255948,0,0,1.5,0,0.4
10,3,10,4.66989436619718,0,0,2,4.25,3.89952153110048,5.32919025350726,2.28571428571429,5.83333333333333,0,6.519202405202649,3.4203164463688798,4.988662700689081,4.780914437337579,0,0,0.5,0,0.3
8.44340895511076,10,7,9.51144366197182,10,10,4.5,10,10,10,9,9.83333333333333,10,9.188802400264553,10,9.752663052711203,7.937253933193772,9.91631652042901,10,6,0,0.1
7.24307692307692,10,NA,10,5,10,3.5,10,10,10,10,5.5,10,8.51062684123615,10,10,NA,5.244044240850758,10,4.5,0,0.2
5.014,1,10,4.44982394366198,0,0,1,4,2.70334928229665,4.34469603741078,2.71428571428571,5.83333333333333,0,4.478392568768397,1.6441865107999913,4.396945809900756,5.209880722517273,0,0,0.5,0,0.3
10,10,7,5.99031690140845,0,10,3.5,9.25,8.13397129186603,5.88912133891214,8.42857142857143,4.33333333333333,10,9.617692030835672,9.01885319309835,5.939503606441414,7.681145747868609,0,10,4.5,0,0.2
10,5,10,2.11707746478873,0,10,3,5.75,5.07177033492823,3.92628599556978,5.14285714285714,9.5,0,7.582875444051551,5.0357573089497825,2.8830975705890296,7.171371656006359,0,0,2.5,0,0.2
10,10,10,9.07130281690143,0,10,4.5,10,10,10,9.42857142857143,5.83333333333333,10,10,10,9.524338726075122,9.710083124552247,0,10,5,0,0.2
6.66666666667481e-4,1,NA,NA,0,0,0,8.5,NA,NA,2.71428571428571,1.16666666666667,0,0.07527726527095407,1,NA,NA,0,0,0,0.2,0.4
10,5,7,5.99031690140844,0,5.75570914761445,1.5,10,8.82775119617225,9.20563622938716,7.85714285714286,4.83333333333333,0,10,6.6437004734455964,7.425946289404185,7.416198487095665,0,0,3.5,0,0.3
5.50608622495636,NA,5.0866666666666696,10,7,6.15466165764952,1.5,6.46,2.96650717703349,10,3.57142857142857,9.66666666666667,0,5.964001761671276,NA,10,4.262237284181474,8.225975119502046,0,2.5,0,0.4
10,10,10,8.3230633802817,7,0,4,9,10,7.0520551316761,7.71428571428572,6.83333333333333,0,9.486832980505138,10,7.661246753771934,8.783100656536801,6.916164640415475,0,4.5,0,0.2
7.62012922455448,5,3.16208839275696,2.24911971830986,0,6.31250722019717,0.5,9.25,10,7.63044548363279,9.85714285714286,5.83333333333333,0,8.3956057153209,7.0710678118654755,4.14267852925217,5.582934444744861,0,0,2.5,0,0.3
5.24,10,9.93366299496001,7.31073943661973,0,10,3,9.25,8.22966507177034,5.16305685454098,10,5.66666666666667,10,6.962039930939782,9.071750146344607,6.143758081174954,9.96677630679048,0,10,4,0,0.2
4.094,1,NA,3.04137323943662,0,0,0,5.26,1.17224880382775,6.70748215604234,3,5.5,0,4.640521522415342,1.0827043935570548,4.51663112655725,NA,0,0,0,0,0.3
10,10,10,9.95158450704226,0,10,4.5,9.75,8.49282296650718,10,7.14285714285714,5,10,9.874208829065749,9.215651342421316,9.975762881625775,8.451542547285165,0,10,5,0,0.1
4.66307692307692,NA,7,8.63116197183099,7,0,1.5,9.25,10,5.79067191730249,8.85714285714286,9.5,10,6.5676069872109055,NA,7.069669528625146,7.874007874011812,8.154753215150045,0,3.5,0,0.4
6.26621172213722,NA,10,2.16109154929577,7,0,1.5,4.84,2.46411483253589,4.46160472557224,2.42857142857143,5.16666666666667,0,5.507128538098974,NA,3.1051467386795495,4.928053803045813,6.013872850889573,0,1,0,0.4
6.13098266489169,3,10,7.44278169014085,0,10,2.5,6.75,5.43062200956938,4.26470588235294,6,6.5,0,6.4330500532810175,4.0363183755383,5.63393955017379,7.745966692414834,0,0,2,0,0.2
8.10923076923077,NA,7.55248778206961,5.99031690140846,7,9.26757705043837,2,7.54,5.90909090909091,10,6.28571428571429,8,0,7.819437319909919,NA,7.739713755306755,6.890049371698114,7.483314773547883,0,3.5,0,0.4
8.1685060397187,3,10,10,0,0,2.5,10,8.70813397129187,8.70723603248831,8.85714285714286,4.16666666666667,0,9.037978778310281,5.111203568033229,9.331257167439075,9.411239481143204,0,0,3.5,0,0.2
10,3,1,0,0,5,1,5.5,3.39712918660287,4.94769874476988,2.85714285714286,9,0,7.416198487095663,3.192395269982809,0,1.690308509457034,0,0,1,0,0.3
0.175039999999999,1,NA,NA,0,0,0,8.2,NA,NA,2.71428571428571,4.5,0,1.1980517518037324,1,NA,NA,0,0,0,0.2,0.4
10,7,10,8.45510563380282,0,0,3,3.5,2.27272727272727,10,2.42857142857143,5,0,5.916079783099616,3.9886201760873257,9.195164834739407,4.928053803045813,0,0,1.5,0,0.3
2.50215775769688,NA,10,9.29137323943663,0,0,1.5,7.62,1.81818181818182,5.49532365247354,3.28571428571428,4.66666666666667,0,4.366513725347743,NA,7.145565276913773,5.732115042211103,0,0,1.5,0,0.4
10,1,10,2.68926056338029,0,0,2,7.25,8.08612440191388,6.55365493477726,6.28571428571429,6.16666666666667,0,8.514693182963201,2.843611155188747,4.198152660647194,7.928249671720922,0,0,2,0,0.3
10,10,7,2.20510563380281,7,10,4,10,8.75598086124402,3.37250799901551,9.71428571428571,4.5,10,10,9.357339825636354,2.7270380247943264,8.24621125123532,5.612486080160912,10,4.5,0,0.1
5.57692307692308,1,0,NA,0,0,0,9.2,5.50239234449761,NA,5.14285714285714,6.5,0,7.16293880384946,2.3457178740201496,NA,0,0,0,1,0,0.4
6.41897053912513,NA,10,7.44278169014085,0,0,1.5,6.02,1.79425837320574,6.29522520305193,5,6.5,0,6.216285277039116,NA,6.844997215235965,7.0710678118654755,0,0,2,0,0.4
6.49076923076923,10,8.85666666666667,4.66989436619719,0,9.12862417558222,2,5.5,4.97607655502392,2.68951513659857,6.28571428571429,9.16666666666667,0,5.9748833268299695,7.054131098174969,3.5439739818745464,7.461265052956921,0,0,2.5,0,0.2
4.21538461538462,NA,7,4.8899647887324,5,0,0.5,9.75,10,9.0887275412257,8.57142857142857,4.5,10,6.410928169929846,NA,6.666600156824772,7.745966692414833,4.743416490252569,0,2,0,0.4
10,5,10,4.00968309859156,0,10,3,5,4.92822966507177,1.83423578636475,3.28571428571428,5.83333333333333,0,7.0710678118654755,4.963985125416761,2.7119557945177752,5.732115042211103,0,0,1.5,0,0.3
6.07292275718011,10,6.3854870390486,6.87059859154929,7,0,1.5,7.46,6.50717703349282,4.07396012798425,7.57142857142857,9.5,0,6.73082489510488,8.066707527543576,5.290609106459913,6.953219327041208,8.154753215150045,0,3.5,0,0.1
4.50307692307692,5,9.32857174246867,5.37411971830987,0,0,0.5,10,8.75598086124402,5.77221265075068,8.85714285714286,2.5,0,6.710496943652474,6.616638444574412,5.569610563107345,9.089801569679675,0,0,2.5,0,0.3
0.544615384615385,3,10,3.56954225352113,10,0,2,7.02,1.79425837320574,0.745139059808025,2.85714285714286,4.5,0,1.9553004884160394,2.3200808433365463,1.630890970829673,5.34522483824849,6.708203932499369,0,1,0,0.3
5.80966272583039,1,6.58328519548689,10,0,10,2,7,7.08133971291866,8.40573467880876,7.14285714285714,10,10,6.3771183994663865,2.6610786746954065,9.168279379910256,6.857365797596712,0,10,3,0,0.3
7.39366120565945,5,6.1,5.90228873239436,7,6.5918525080181,1,8.25,6.62679425837321,9.01489047501846,7.57142857142857,10,0,7.810102748792135,5.756211539881596,7.294414745164323,6.796007231140523,8.366600265340756,0,4,0,0.3
10,NA,3,7.97095070422536,0,0,1.5,7.62,2.20095693779904,4.46160472557224,2.28571428571429,3,0,8.729261137118078,NA,5.963491538459264,2.618614682831911,0,0,1.5,0,0.4
3.85172,3,9,0,0,0,0.5,2,0,2.90487324636968,0.714285714285714,5.16666666666667,0,2.775507160862677,0,0,2.535462764185549,0,0,0,0,0.3
10,NA,7.57333333333333,2.24911971830987,0,0,1.5,6.7,5.52631578947368,9.52559684961851,4.85714285714286,4.83333333333333,0,8.18535277187245,NA,4.628629138648653,6.065044262390994,0,0,1.5,0,0.4
6.03127232928535,10,7,10,7,10,4,10,6.17224880382775,10,10,7.83333333333333,10,7.766126659593796,7.856366083519625,10,8.366600265340756,7.404953297174353,10,6,0,0.3
5.79904,1,7,5.55017605633803,10,0,1.5,8.8,9.30622009569378,1.95729756337682,7.28571428571429,6,10,7.143637168837735,3.0506097907949123,3.2959590518364745,7.141428428542852,7.745966692414834,0,3,0,0.3
10,NA,0,3.34947183098591,0,0.218326929155264,1,6.68,2.89473684210526,3.88936746246616,2.85714285714286,3.66666666666667,0,8.17312669668102,NA,3.609338825309083,0,0,0,1,0,0.4
8.752,NA,10,7.31073943661972,0,9.75515448822749,2.5,7.26,2.05741626794258,6.71978833374354,3.57142857142857,5.66666666666667,0,7.971168044897812,NA,7.0090385629725285,5.976143046671967,0,0,2.5,0,0.4
10,7,10,1.36883802816901,5,10,3.5,10,10,7.55045532857495,8.71428571428571,5.66666666666667,0,10,8.366600265340756,3.21486397593191,9.335033858688307,5.322906474223772,0,3.5,0,0.1
5.39913543259416,10,0,9.81954225352111,0,0,1.5,9.4,5.07177033492823,10,5.14285714285714,8.5,10,7.1240348866625505,7.121636283136222,9.909360349447946,0,0,0,3,0,0.3
5.5963260619977,10,9.46943355444598,9.29137323943663,0,8.20375392307532,2.5,9,9.83253588516746,10,8.14285714285714,3.5,0,7.0969665743879125,9.915914423373902,9.639176956274136,8.781130033067015,0,0,4,0,0.2
3.284,1,10,3.12940140845071,0,0,1,7.88,3.58851674641148,4.3939207482156,3.42857142857143,4,0,5.087034499588144,1.8943380760602053,3.7081453286092625,5.8554004376912,0,0,1,0,0.3
1.80039572917135,NA,10,2.68926056338029,0,0.711320310737339,1,7.64,4.66507177033493,6.0121831159242,5.42857142857143,7.5,0,3.708776532883737,NA,4.0209858186116225,7.367883976130074,0,0,1,0,0.4
8.534,1,10,10,0,1.69529125743,2.5,5.44,3.22966507177033,4.11087866108787,3.71428571428571,5.16666666666667,0,6.81358642713219,1.79712689361946,6.411613417142264,6.094494002200436,0,0,1.5,0,0.3
7.8790986568862,3,10,1.19278169014085,0,5,1.5,7.78,6.9377990430622,1.61887767659365,6.42857142857143,2.83333333333333,0,7.829392540329973,4.562170221417281,1.3895926205973699,8.017837257372731,0,0,2,0,0.3
5.28923076923077,3,7,1.50088028169014,0,0,0.5,7.48,1.81818181818182,0.763598326359833,2.14285714285714,3,0,6.2899480247332855,2.33549683248457,1.0705464357817767,3.8729833462074144,0,0,0.5,0,0.4
7.812,5,10,2.95334507042253,0,0,1.5,4.88,2.41626794258373,2.45569776027566,2.71428571428571,4.33333333333333,0,6.174346929028203,3.4758221635921838,2.693050848899398,5.209880722517273,0,0,1,0,0.3
7.11769811222346,1,3.09333333333333,0,0,0,0.5,5.4,2.12918660287081,4.11703174993847,0.857142857142856,5.5,0,6.199642715996356,1.459173260058863,0,1.6283207827171418,0,0,0.5,0,0.3
4.52,5,2.833476810841,5.63820422535212,5,0,0,9.36,8.25358851674641,5.5999261629338,8.14285714285714,7.33333333333333,0,6.504398511776473,6.424012965719485,5.619032599434998,4.803394309056535,6.055300708194982,0,2,0,0.3
7.10682595632296,3,10,10,7,0,3,4.75,5.14354066985646,5.63684469603741,4.85714285714286,9.83333333333333,0,5.810113879480682,3.928183041759813,7.5078923114529355,6.969320524371699,8.296585643102427,0,3,0,0.3
0.162920000000002,5,NA,5.77024647887324,0,0,0,10,5.4066985645933,8.49187792271721,6.14285714285714,3.16666666666667,0,1.2764011908487158,5.199374272253008,7.00001633445097,NA,0,0,1.5,0,0.4
10,1,10,NA,10,0,3,8.86,4.90430622009569,NA,4.57142857142857,4.83333333333333,0,9.412757300600074,2.2145668244818646,NA,6.761234037828132,6.952217871538068,0,2,0,0.4
8.608,3,8.50333333333334,7.09066901408451,0,0,1.5,3.25,0.119617224880383,4.1785626384445,0.857142857142856,8.16666666666667,0,5.289234349128426,0.5990422978731543,5.4432347573689706,2.6997354367736524,0,0,1,0,0.3
9.808,NA,0,9.64348591549297,0,0,1,7.66,4.66507177033493,3.1448437115432,6.14285714285714,4.66666666666667,0,8.667714808414038,NA,5.507018797742885,0,0,0,1.5,0,0.4
10,5,8.94,1.36883802816901,0,0,1.5,3.5,0.933014354066986,3.82783657396013,1.57142857142857,4.33333333333333,0,5.916079783099616,2.159877721153429,2.289036537072487,3.748142397051027,0,0,0.5,0,0.3
5.58149673421125,NA,10,9.29137323943663,0,0,1.5,5.86,1.26794258373206,6.98437115431947,1.42857142857143,5,0,5.719053318730113,NA,8.055706004909629,3.779644730092274,0,0,1.5,0,0.4
8.63728,NA,7.49912892932354,2.16109154929577,0,0,1,3,2.3444976076555,0,2.57142857142857,6.5,0,5.090367373775688,NA,0,4.391295297482178,0,0,0.5,0,0.4
9.71076923076923,3,10,3.4375,0,0,1.5,6.5,6.79425837320574,6.38136844696038,7.14285714285714,9.33333333333333,0,7.944809626416482,4.514728687265406,4.683583461029205,8.451542547285165,0,0,2,0,0.2
5.79304,3,7,2.46919014084507,7,0,1,5.38,3.22966507177033,3.33558946591189,2.71428571428571,6.66666666666667,0,5.582701424937572,3.1127150873973335,2.869878851647977,4.35889894354067,6.831300510639734,0,1,0,0.3
0,NA,NA,NA,0,0,0,9.62,NA,NA,4,3.66666666666667,0,0,NA,NA,NA,0,0,0,0.2,0.8
9.01379038103079,3,10,0.444542253521117,0,0,1.5,2.92,0.789473684210526,2.06190007383707,0.857142857142856,2.16666666666667,0,5.130328246088149,1.5389675281277309,0.9573931822187207,2.927700218845598,0,0,0.5,0,0.3
7.69230769230769,1,8.65963300069173,NA,0,0,1,6.94,NA,NA,4.57142857142857,2.66666666666667,0,7.30647763184254,1,NA,6.291811640334435,0,0,1.5,0.2,0.4
9.63076923076923,NA,7.23936998276483,NA,0,0,1,9.86,9.13875598086125,NA,8.28571428571428,8,10,9.744710596799917,NA,NA,7.7448919479722695,0,0,2,0,0.6
10,5,7,0,0,5,1.5,4.66,1.07655502392344,3.04024120108294,0.428571428571429,5.33333333333333,0,6.826419266350405,2.320080843336542,0,1.732050807568878,0,0,0.5,0,0.3
4.12723454199712,3,5.64333333333334,9.73151408450705,7,10,2,7.16,4.23444976076555,7.46431208466651,3.85714285714286,6.5,0,5.4360830862579155,3.5641758209011867,8.52285504881365,4.665527071740437,6.745368781616021,0,2,0,0.3
10,5,3,8.8512323943662,0,0,1.5,6.12,0.526315789473683,5.62453851833621,1.71428571428572,0,0,7.8230428862431785,1.6222142113076234,7.055784686118046,2.267786838055367,0,0,2,0,0.3
7.00741320436838,NA,10,9.07130281690141,0,9.51179021507896,2.5,8,8.03827751196172,3.5632537533842,6.85714285714286,10,0,7.48727624940786,NA,5.68536312036519,8.280786712108252,0,0,2.5,0,0.4
1.13308,5,7.0231235193543,10,0,0,1.5,5.94,6.98564593301436,2.68336204774797,7.42857142857143,4.16666666666667,0,2.594319795244989,5.910010969962052,5.180117805366949,7.223003164557204,0,0,2,0,0.3
9.66307692307692,5,9.31379674220999,3.70158450704226,0,0,1,10,9.92822966507177,10,10,4.33333333333333,10,9.830095077402314,7.045647473820901,6.0840648476510015,9.650801387558438,0,0,3.5,0,0.3
2.82474342032463,NA,0,10,0,0,1,7.25,9.33014354066986,4.70157519074576,8.28571428571428,8,0,4.525415980587152,NA,6.856803330084479,0,0,0,0.5,0,0.4
1.32153846153846,NA,7.35360215466743,0,0,9.53213207318678,1,4.36,2.91866028708134,2.89256706866847,3.71428571428571,10,0,2.40039740299553,NA,0,5.226220377253704,0,0,0.5,0,0.3
0.0985599999999991,NA,5.29306413637899,NA,0,0,0,10,8.22966507177034,NA,8.57142857142857,2.83333333333333,10,0.992773891679264,NA,NA,6.735660410751329,0,0,0.5,0,0.5
4.69538461538462,NA,10,9.86355633802818,0,10,2.5,9.28,10,7.58122077282796,7.71428571428572,4.83333333333333,10,6.600997593604263,NA,8.647415695097473,8.783100656536801,0,10,3.5,0,0.4
9.59094359400321,3,10,2.90933098591549,0,0,1.5,2.5,0,0,0.571428571428571,4,0,4.896668151407447,0,0,2.3904572186687862,0,0,0,0,0.3
5.97881652491855,1,10,3.17341549295775,0,0,1,10,6.60287081339713,6.21523504799409,6.14285714285714,2.5,0,7.732280727520535,2.569605186287794,4.441117336175487,7.8376381281972565,0,0,2,0,0.3
10,5,7,7.0906690140845,0,10,3,9.25,7.51196172248804,7.56276150627616,9.57142857142857,3.5,10,9.617692030835672,6.128605764155514,7.322911898518471,8.185352771872449,0,10,4.5,0,0.3
4.38930967419285,3,3.78,0,0,0,0,0.799999999999999,0,0,0.571428571428571,2.5,0,1.873885732736731,0,0,1.4696938456699062,0,0,0,0,0.3
9.58307692307692,NA,NA,NA,7,0,1,10,5.76555023923445,NA,9.71428571428571,4.66666666666667,10,9.789319140306398,NA,NA,NA,5.715476066494084,0,1.5,0,0.7
0,NA,NA,6.43045774647888,0,10,1,6.75,8.63636363636364,10,9,7,0,0,NA,8.01901349698258,NA,0,0,1,0,0.6
10,NA,0,6.8705985915493,0,5,1,4.78,0.645933014354066,0,2.57142857142857,1,0,6.913754406977442,NA,0,0,0,0,0.5,0,0.4
7.54226094358271,3,5.3,10,0,0,1.5,5.24,0,0,0.857142857142856,0,0,6.28660857254318,0,0,2.1313979316066574,0,0,0.5,0,0.3
2.70769230769231,10,9.37847931044442,6.78257042253521,10,5.73051121770689,2.5,10,10,7.94425301501354,8.42857142857143,8.5,0,5.20354908470393,10,7.3404669830172935,8.890848258713008,9.219544457292887,0,4.5,0,0.1
10,NA,3,0,0,0,1,6.54,0,1.00356879153335,0.714285714285714,2.5,0,8.087026647662292,NA,0,1.4638501094227994,0,0,1,0,0.4
6.817695312319,5,7,4.66989436619718,10,1.93383329106241,1.5,4.25,3.22966507177033,2.48646320452868,4.57142857142857,9.5,0,5.382862164068086,4.018497898326146,3.407568122662417,5.65685424949238,9.746794344808963,0,2,0,0.2
0,NA,NA,NA,0,NA,0,NA,NA,NA,8,5.33333333333333,10,0,NA,NA,NA,0,NA,0,0.3,0.8
10,5,9.6,3.70158450704224,0,0,1.5,6,4.5933014354067,6.95360571006646,3.28571428571428,5.16666666666667,0,7.745966692414834,4.792338382985231,5.0733972015270465,5.616302800139704,0,0,2,0,0.3
8.02684,3,7.50993925787054,3.56954225352113,0,0,1,4.25,7.20095693779904,4.94154565591927,5,3.16666666666667,0,5.840725126215066,4.647888855533996,4.199887619509315,6.127780698536192,0,0,1,0,0.3
5.18374322719827,NA,10,4.22975352112676,0,10,2,5.75,3.49282296650718,3.83398966281073,6.28571428571429,6.16666666666667,0,5.4595351044196105,NA,4.027012698792653,7.928249671720922,0,0,1.5,0,0.4
0,NA,NA,NA,10,0,1,9.84,NA,NA,5.42857142857143,3,0,0,NA,NA,NA,5.477225575051661,0,0.5,0.2,0.8
5.11854721777996,1,10,2.24911971830986,0,0,1,5.26,5.09569377990431,0.794363770612849,3.42857142857143,8.66666666666667,0,5.188791609375211,2.2573643436327044,1.3366447620801607,5.8554004376912,0,0,1,0,0.3
3.97162956537463,5,0.123993419012507,8.19102112676057,0,6.5910836345869,0.5,7.5,9.06698564593302,5.64915087373862,8.85714285714286,4.16666666666667,0,5.4577671020582885,6.733121729901004,6.802375625842119,1.0479634657464678,0,0,1.5,0,0.3
0,1,NA,NA,0,0,0,8.72,3.20574162679426,NA,7.14285714285714,4.16666666666667,0,0,1.7904584962501253,NA,NA,0,0,0,0,0.6
2.608,NA,10,4.18573943661971,0,0,1,10,8.20574162679426,6.47981786857003,8.85714285714286,0.5,0,5.106858133921482,NA,5.207958255841405,9.411239481143204,0,0,2,0,0.5
10,5,7,1.85299295774648,7,0,2,4.14,2.39234449760766,2.1357371400443,1.85714285714286,3.5,0,6.434283176858165,3.4585723193303766,1.9893481043044468,3.6055512754639922,4.949747468305833,0,0.5,0,0.3
10,1,10,7.44278169014085,0,10,3.5,7.75,7.39234449760766,2.57260644843712,9.14285714285714,5.83333333333333,0,8.803408430829505,2.7188866283108717,4.375768294867322,9.561828874675149,0,0,2,0,0.3
4.96769230769231,10,10,4.44982394366197,0,0,2,10,9.64114832535885,7.6612109278858,9.85714285714286,4.83333333333333,0,7.048185800397369,9.818934934787404,5.838753276543801,9.928314487939462,0,0,3.5,0,0.3
10,3,7,2.46919014084507,5,0,1.5,9,9.71291866028708,6.24600049224711,8.42857142857143,6.83333333333333,0,9.486832980505138,5.398032602797175,3.927157093263525,7.681145747868609,5.845225972250059,0,3,0,0.3
10,1,4.58382712504999,2.46919014084507,7,0,1.5,9.75,8.68421052631579,5.63684469603741,8.85714285714286,3.33333333333333,0,9.874208829065749,2.946898458772509,3.73074273421934,6.371782456974987,4.830458915396477,0,1.5,0,0.3
4.554,5,3.04333333333333,9.99559859154929,0,0,0.5,4.75,0.454545454545453,5.26150627615063,2.71428571428571,8.66666666666667,0,4.650967641254883,1.5075567228888156,7.252027628416689,2.8741044153746693,0,0,1,0,0.3
3.81384615384615,NA,7,2.42517605633804,7,0,1,7.64,3.27751196172249,10,2.14285714285714,4.5,0,5.397942628018992,NA,4.924607655781362,3.8729833462074144,5.612486080160912,0,1,0,0.6
0,NA,NA,NA,10,0,1,9.68,NA,NA,8,3.33333333333333,10,0,NA,NA,NA,5.773502691896255,0,0.5,0.2,0.8
4.08615384615385,NA,8.99747957502093,7.09066901408449,7,0,1.5,7.14,3.25358851674641,10,4.71428571428571,7,0,5.401401527523989,NA,8.420611031323375,6.5128096413989125,7,0,3,0,0.4
9.58307692307692,NA,7,NA,10,0,2,8.78,8.22966507177034,NA,7.71428571428572,7.66666666666667,0,9.172753969480231,NA,NA,7.348469228349536,8.755950357709134,0,3,0,0.6
5.08769230769231,NA,7.7,6.82658450704226,0,0,0.5,0.25,0.885167464114833,0,0.714285714285714,6.33333333333333,0,1.1277956716192334,NA,0,2.3452078799117144,0,0,0,0,0.4
7.21764370692347,3,4.33333333333333,3.92165492957746,0,0,0.5,2.5,0,0.560546394289934,0.428571428571429,2.5,0,4.24783583337547,0,1.4826562414882252,1.362770287738494,0,0,0,0,0.3
6.82236,3,10,9.29137323943663,0,5,1.5,2,0,1.97575682992863,0.428571428571429,1.33333333333333,0,3.6938760130789445,0,4.284564638003845,2.0701966780270635,0,0,0,0,0.3
10,5,10,6.65052816901409,7,0,2.5,2.5,3.42105263157895,0,2.14285714285714,8.66666666666667,0,5,4.135850959342557,0,4.629100498862755,7.788880963698617,0,1.5,0,0.3
