"","Index","Countryname","Country","Outlook","Count","Previous Count","Flag Change"
"288",4962,"Lebanon","LBN","Emerging",3.5,3.5,0
"289",4993,"Liberia","LBR","Overall",3.5,4,-0.5
"290",5000,"Liberia","LBR","Underlying",3,3,0
"291",5014,"Liberia","LBR","Emerging",2,2.5,-0.5
"292",5045,"Libya","LBY","Overall",3,3,0
"293",5052,"Libya","LBY","Underlying",2,2,0
"294",5066,"Libya","LBY","Emerging",2.5,2,0.5
"295",5097,"Saint Lucia","LCA","Overall",0.5,0.5,0
"296",5104,"Saint Lucia","LCA","Underlying",0,0,0
"297",5118,"Saint Lucia","LCA","Emerging",0,0,0
"298",5149,"Liechtenstein","LIE","Overall",0,0,0
"299",5156,"Liechtenstein","LIE","Underlying",0,0,0
"300",5170,"Liechtenstein","LIE","Emerging",0,0,0
"301",5201,"Sri Lanka","LKA","Overall",1.5,1.5,0
"302",5208,"Sri Lanka","LKA","Underlying",1,1,0
"303",5222,"Sri Lanka","LKA","Emerging",0.5,0.5,0
"304",5253,"Lesotho","LSO","Overall",3,3,0
"305",5260,"Lesotho","LSO","Underlying",2,2,0
"306",5274,"Lesotho","LSO","Emerging",1,0.5,0.5
"307",5305,"Lithuania","LTU","Overall",0.5,0.5,0
"308",5312,"Lithuania","LTU","Underlying",0,0,0
"309",5326,"Lithuania","LTU","Emerging",1.5,1.5,0
"310",5357,"Luxembourg","LUX","Overall",0.5,0.5,0
"311",5364,"Luxembourg","LUX","Underlying",0,0,0
"312",5378,"Luxembourg","LUX","Emerging",1.5,1.5,0
"313",5409,"Latvia","LVA","Overall",0.5,0.5,0
"314",5416,"Latvia","LVA","Underlying",0,0,0
"315",5430,"Latvia","LVA","Emerging",1,1,0
"316",5461,"Morocco","MAR","Overall",2,1.5,0.5
"317",5468,"Morocco","MAR","Underlying",0,0,0
"318",5482,"Morocco","MAR","Emerging",2.5,2,0.5
"319",5513,"Moldova Republic of","MDA","Overall",2,2,0
"320",5520,"Moldova Republic of","MDA","Underlying",0,0,0
"321",5534,"Moldova Republic of","MDA","Emerging",1.5,1.5,0
"322",5565,"Madagascar","MDG","Overall",4.5,4,0.5
"323",5572,"Madagascar","MDG","Underlying",3.5,3.5,0
"324",5586,"Madagascar","MDG","Emerging",2.5,2.5,0
