Country,NH_GDAC_Hazard_Score_Norm,NH_Hazard_Score_norm,NH_seasonal_risk_norm,NH_locust_norm,NH_natural_acaps,NH_GDAC_Hazard_Score_raw,NH_Hazard_Score_raw,NH_seasonal_risk_norm_raw,NH_locust_norm_raw,NH_natural_acaps_raw
QAT,NA,0.8333333333333339,0,0,0,NA,1.5,0,0,0
ROU,0,5.166666666666666,0,0,0,past - green,4.1,0,0,0
RUS,0,7.833333333333334,0,0,0,active - green,5.7,0,0,0
RWA,NA,4.166666666666666,0,0,0,NA,3.5,0,0,0
SAU,NA,3.5,0,0,0,NA,3.1,0,0,0
SDN,NA,5.333333333333334,0,0,0,NA,4.2,0,0,0
SEN,NA,5.833333333333333,0,0,0,NA,4.5,0,0,0
SGP,NA,0,10,0,0,NA,0.9,10,0,0
SLB,NA,8,0,0,0,NA,5.8,0,0,0
SLE,NA,4.833333333333333,0,0,0,NA,3.9,0,0,0
SLV,NA,9.166666666666666,0,0,0,NA,6.5,0,0,0
SOM,NA,9.833333333333334,0,0,10,NA,6.9,0,0,10
SRB,NA,5.833333333333333,0,0,0,NA,4.5,0,0,0
SSD,NA,5,NA,0,0,NA,4,NA,0,0
STP,NA,0.5,0,0,0,NA,1.3,0,0,0
SUR,NA,4.833333333333333,0,0,0,NA,3.9,0,0,0
SVK,NA,2.999999999999999,0,0,0,NA,2.8,0,0,0
SVN,NA,4,7,0,0,NA,3.4,7,0,0
SWE,NA,0.16666666666666607,0,0,0,NA,1.1,0,0,0
SWZ,NA,2.5,0,0,0,NA,2.5,0,0,0
SYC,NA,2.999999999999999,0,0,0,NA,2.8,0,0,0
SYR,NA,7.833333333333334,7,0,0,NA,5.7,7,0,0
TCD,NA,5.333333333333334,0,0,0,NA,4.2,0,0,0
TGO,NA,3.333333333333334,0,0,0,NA,3,0,0,0
THA,NA,8.666666666666668,0,0,0,NA,6.2,0,0,0
TJK,NA,8,0,0,0,NA,5.8,0,0,0
TKM,NA,4.500000000000001,7,0,0,NA,3.7,7,0,0
TLS,NA,5.999999999999999,0,0,0,NA,4.6,0,0,0
TON,NA,7,7,0,0,NA,5.2,7,0,0
TTO,NA,3.666666666666667,0,0,0,NA,3.2,0,0,0
TUN,NA,5.666666666666667,0,0,0,NA,4.4,0,0,0
TUR,NA,8.666666666666668,0,0,0,NA,6.2,0,0,0
TUV,NA,3.333333333333334,10,0,0,NA,3,10,0,0
TZA,NA,6.833333333333333,0,0,0,NA,5.1,0,0,0
UGA,NA,5.666666666666667,0,0,0,NA,4.4,0,0,0
UKR,NA,3.666666666666667,0,0,0,NA,3.2,0,0,0
URY,NA,1.1666666666666679,0,0,0,NA,1.7,0,0,0
USA,0,9.333333333333332,7,0,0,past - green,6.6,7,0,0
UZB,NA,7,7,0,0,NA,5.2,7,0,0
VCT,0,2.666666666666666,0,0,0,past - orange,2.6,0,0,0
VEN,NA,8.5,7,0,0,NA,6.1,7,0,0
VNM,NA,10,0,0,0,NA,7.4,0,0,0
VUT,0,7.666666666666666,0,0,0,past - green,5.6,0,0,0
WSM,NA,4.166666666666666,0,0,0,NA,3.5,0,0,0
YEM,0,5.5,0,0,0,past - green,4.3,0,0,0
ZAF,NA,6.500000000000001,0,0,0,NA,4.9,0,0,0
ZMB,NA,4.166666666666666,0,0,0,NA,3.5,0,0,0
ZWE,NA,6.166666666666667,0,0,0,NA,4.7,0,0,0
