Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
DNK,0,3.564452771041399,0,0,3.35328,0.3460000000000001,3.2046153846153844,0.25,10,0,70.4,0.431454106735873,-25.521207764198415,-32.89797585547575,83.832,0.173,59.17,2.1,10,0
DOM,6.340000000000001,4.956583433431737,7.869948603893556,0.9942905712244539,3.98864,1.3960000000000008,2.212307692307691,5.75,0,0,38.3,0.524656953617365,118.04922905840334,14.91435856836679,99.716,0.698,65.62,4.3,0,0
DZA,9.28,5.418102503099674,1.1350196906287415,2.7055245974821798,0.3166399999999996,0.3460000000000001,2.636923076923077,4.75,0,0,23.6,0.555555555555556,17.025295359431137,40.582868962232695,7.916,0.173,62.86,3.9,0,0
ECU,3.9800000000000004,7.106825956322959,0,0,2.13148,3.87,0.9938461538461532,4.75,0,0,50.1,0.668615225662745,-34.78804370346838,-8.425534793523845,53.287,1.935,73.54,3.9,0,0
EGY,6.0200000000000005,6.418970539125132,0,0,0.29091999999999985,0.7560000000000002,5.28923076923077,4,0,0,39.9,0.622563454189215,-19.853268119164074,-27.94468223641473,7.273,0.378,45.62,3.6,0,0
ERI,9.52,0,6.666666666674814e-4,6.666666666674814e-4,0.6783599999999996,0.1620000000000008,4.2153846153846155,9.75,0,0,22.4,0.18571952622054,0.01,0.01,16.959,0.081,52.6,5.9,0,0
ESP,0.8199999999999985,0.03274848381817108,0.885195206803246,0,4.35328,1.8640000000000008,2.9569230769230774,2,0,0,65.9,0.195007268227491,13.277928102048698,-4.9146051656140335,108.832,0.932,60.78,2.8,0,0
EST,2.5999999999999996,10,0,0,1.684280000000001,0.6460000000000008,5.496923076923077,2.5,0,0,57,1,-48.01077992625743,-55.50454160924288,42.107,0.323,44.27,3,0,0
ETH,5.88,5.885361054168175,0,0,0.06328000000000067,0.08200000000000074,5.481538461538462,9.75,0,0,40.6,0.586838414532693,-47.14003944773176,-41.7871214954284,1.582,0.041,44.37,5.9,0,0
FIN,0.2599999999999998,4.714772332476336,0,0,0.6136400000000002,0.2579999999999991,3.6861538461538466,0.25,0,0,68.7,0.508467752685684,-62.55421686746988,-35.88456779548093,15.341,0.129,56.04,2.1,0,0
FJI,8.86,0,6.666666666674814e-4,6.666666666674814e-4,2.7473599999999996,0,1.8353846153846156,5.249999999999999,0,0,25.7,0.101932237818838,0.01,0.01,68.684,0,68.07,4.1,0,0
FRA,0.35999999999999943,9.590943594003205,0,0,2.36416,1.661999999999999,3.333846153846154,2.5,0,0,68.2,0.834926364462594,-45.878385741442564,-45.57057372473937,59.104,0.831,58.33,3,0,0
FSM,7.44,NA,NA,NA,0,0,NA,NA,0,0,32.8,NA,NA,NA,0,0,NA,NA,0,0
GAB,10,5.978816524918553,0,0,0.37227999999999994,0.2560000000000002,3.2692307692307683,7.5,0,0,20,0.593095238095238,-38.45175803217762,-36.420458735894975,9.307,0.128,58.75,5,0,0
GBR,0,3.84053277174229,2.2571845907467045,9.608970076251554,4.12264,0.2740000000000009,1.723076923076924,1.5,10,0,77.9,0.449937603096901,33.85776886120057,144.1345511437733,103.066,0.137,68.8,2.6,10,0
GEO,3.5999999999999996,5.38763608038849,0,0,6.97172,9.884,3.10923076923077,5,0,0,52,0.553515835141596,-2.581329597220534,-17.675238337385117,174.293,4.942,59.79,4,0,0
GHA,6.9,4.922767583196153,7.692307692307692,0.8950736116458575,0.04871999999999943,0.018000000000000682,5.4799999999999995,6.75,0,0,35.5,0.522392989754761,115.38461538461537,13.426104174687861,1.218,0.009,44.38,4.7,0,0
GIN,7.459999999999999,3.398109494263756,0,0,0.062239999999999185,0.10800000000000054,4.487692307692308,10,10,0,32.7,0.42031746031746,-28.205128205128204,-31.415545320624418,1.556,0.054,50.83,6,10,0
GMB,7.16,0.5163784945122334,0,0,0.021280000000000854,0.11800000000000033,5.529230769230769,9.25,0,0,34.2,0.227386192887204,-73.06065535672786,-55.12880755547064,0.532,0.059,44.06,5.7,0,0
GNB,10,NA,0.5128205128205128,6.616303069757113,0.04644000000000048,0.1460000000000008,NA,10,0,0,20,NA,7.692307692307685,99.2445460463567,1.161,0.073,NA,6.2,0,0
GNQ,10,NA,0,0,0.09776000000000096,0.4079999999999995,NA,9.75,0,0,16.2,NA,-64.09417096814806,-84.39424175528752,2.444,0.204,NA,5.9,0,0
GRC,3.24,4.512378440648886,0,0,3.0509200000000005,3.8919999999999995,0.833846153846153,3.25,0,0,53.8,0.49491752538349,-44.08159489338083,-42.91461766529763,76.273,1.946,74.58,3.3,0,0
GRD,8.5,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,27.5,NA,0.01,0.01,0,0,NA,3.6,0,0
GTM,7.459999999999999,6.072922757180111,0.9880796759995807,2.962057212672283,3.1082400000000012,2.5679999999999996,4.070769230769232,7,0,0,32.7,0.599395630000268,14.821195139993698,44.43085819008425,77.706,1.284,53.54,4.8,0,0
GUY,7.66,0.587505008907792,0,0,5.2379999999999995,6.176,2.0830769230769244,4.25,0,0,31.7,0.232148097649104,-11.449854113724069,-3.480776444043664,130.95,3.088,66.46,3.7,0,0
HND,8.48,6.324727907550919,0,0,3.4050400000000005,4.384,1.3461538461538467,7.250000000000001,0,0,27.6,0.616253930379691,-21.82845730131671,-4.473525156203529,85.126,2.192,71.25,4.9,0,0
HRV,3.3400000000000007,5.111687997485276,0,0,1.3891599999999986,3.202,4.327692307692308,3.75,0,0,53.3,0.535041170648603,-60.36202191035199,-54.797664232699304,34.729,1.601,51.87,3.5,0,0
HTI,7.699999999999999,1.7013187538184766,0.32320620555914736,7.256900488197357,0.3994,0.5760000000000005,4.855384615384616,10,0,0,31.5,0.30671768707483,4.848093083387208,108.85350732296035,9.985,0.288,48.44,6.6,0,0
HUN,3.1999999999999993,10,0,0,0.46255999999999986,1.4779999999999998,1.5707692307692298,3.5,0,0,54,1,-64.58871897761715,-59.34215248776371,11.564,0.739,69.79,3.4,0,0
IDN,2.6799999999999997,4.677211459538965,0.6018081397142776,1.6220293451859238,1.1557200000000005,1.3239999999999998,2.027692307692309,6.000000000000001,0,0,56.6,0.505953060362834,9.027122095714168,24.330440177788855,28.893,0.662,66.82,4.4,0,0
IND,4.699999999999999,4.415726992241089,0,0,2.48628,5.2,1.081538461538461,6.499999999999999,0,0,46.5,0.488446731807721,-14.11277845762573,-51.18584268115538,62.157,2.6,72.97,4.6,0,0
IRL,2.1999999999999993,4.168035739136462,6.666666666674814e-4,6.666666666674814e-4,2.66864,0,0.11230769230769333,2.5,0,0,59,0.471863855960883,0.01,0.01,66.716,0,79.27,3,0,0
IRN,6.459999999999999,5.506086224956361,0,0,4.24212,3.5199999999999996,2.075384615384614,4.25,0,0,37.7,0.561446046712609,-28.7179340369916,-15.698665981816495,106.053,1.76,66.51,3.7,0,0
IRQ,8.84,5.770612810382412,0,0,4.212440000000001,1.186,2.1307692307692294,7,0,0,25.8,0.579156044418726,-6.477432803250525,-1.7744929095427593,105.311,0.593,66.15,4.8,0,0
ISL,4.740000000000001,0,6.666666666674814e-4,6.666666666674814e-4,0,0,3.9738461538461536,1.5,0,0,46.3,0.0892703386434036,0.01,0.01,0,0,54.17,2.6,0,0
ISR,4.540000000000001,10,0,0,0.06272000000000055,0.3960000000000008,4.295384615384616,1.75,0,0,47.3,0.934261202300882,-15.748987854251006,-34.91088604074444,1.568,0.198,52.08,2.7,0,0
ITA,2.759999999999999,9.463058528145696,0,0,1.176079999999999,2.2639999999999993,0.1999999999999993,3,0,0,56.2,0.826364486950981,-48.62232061479561,-47.267814284260254,29.402,1.132,78.7,3.2,0,0
JAM,8.2,5.014736990300707,0,0,0.6290800000000001,2.606,0.9615384615384617,5.249999999999999,0,0,29,0.528550321677491,-37.91916994035019,-33.21421753693986,15.727,1.303,73.75,4.1,0,0
JOR,5.58,10,0,0,0,0,4.647692307692308,5.75,0,0,42.1,1,-60.6307785143706,-68.3589635471324,0,0,49.79,4.3,0,0
JPN,2.040000000000001,4.951995548884098,0,0,0.5712800000000016,1.112,3.5892307692307686,0.75,0,0,59.8,0.524349795738758,-22.813633465206685,-47.486593116776696,14.282,0.556,56.67,2.3,0,0
KAZ,5.859999999999999,5.581496734211254,0,0,2.0103999999999997,0.2740000000000009,4.695384615384616,2.75,0,0,40.7,0.566494764004182,-22.73915885813902,-45.23488194193039,50.26,0.137,49.48,3.1,0,0
KEN,4.58,6.432996330919787,4.078292678698357,0,0.3024400000000007,0.6539999999999999,2.1476923076923073,9,10,0,47.1,0.623502477917623,61.17439018047538,-4.655617066007158,7.561,0.327,66.04,5.6,10,0
KGZ,4.140000000000001,2.9006619412876073,0,3.4657800529063643,2.975319999999999,1.8840000000000003,4.166153846153846,4.5,0,0,49.3,0.387013454189184,-8.975480025456472,51.98670079359546,74.383,0.942,52.92,3.8,0,0
KHM,6.159999999999999,2.824743420324629,7.810332140229049,1.257396078447405,1.4296799999999994,1.2300000000000004,2.5646153846153847,7.250000000000001,0,0,39.2,0.381930725623582,117.15498210343573,18.860941176711062,35.742,0.615,63.33,4.9,0,0
KIR,10,NA,NA,NA,0,0,8.476923076923077,9.75,0,0,19.2,NA,NA,NA,0,0,24.9,5.9,0,0
KNA,8.76,NA,NA,NA,7.7348,0,NA,3.25,0,0,26.2,NA,NA,NA,193.37,0,NA,3.3,0,0
KOR,10,3.7277534683119464,0,0.056691622642453865,0.40523999999999916,0.0779999999999994,2.964615384615385,2.25,0,0,17.5,0.442387053114063,-54.1397024484622,0.8503743396368126,10.131,0.039,60.73,2.9,0,0
KWT,4.779999999999999,8.128980355918356,0,1.3748570325739458,10,1.6720000000000006,3.7661538461538457,4.75,0,0,46.1,0.7370482417355,-31.9911307437295,20.62285548860918,360.14,0.836,55.52,3.9,0,0
LAO,5.38,0.6755045016779597,0,0,0.025920000000001053,0,0.8015384615384598,6.499999999999999,0,0,43.1,0.238039644665405,-100,-66.97962118612215,0.648,0,74.79,4.6,0,0
LBN,5.38,10,0,0,0.6848399999999994,1.129999999999999,2.195384615384615,7.5,0,0,43.1,1,-32.96228840797086,-51.7402181150259,17.121,0.565,65.73,5,0,0
LBR,6.9799999999999995,2.1581372599665976,10,10,0.3219999999999992,0.3960000000000008,5.080000000000001,10,0,0,35.1,0.337301587301587,652.7583527583529,381.0963748894784,8.05,0.198,46.98,6.2,0,0
LBY,8.86,6.863511254097826,0.7245363537021774,0,1.4786000000000001,0.7479999999999993,3.1569230769230767,5.75,0,0,25.7,0.65232535895112,10.868045305532672,-12.960612308499073,36.965,0.374,59.48,4.3,0,0
LCA,6.94,NA,0,0,1.4314400000000003,0,NA,4.75,0,0,35.3,NA,-64.1025641025641,-51.56007948287572,35.786,0,NA,3.9,0,0
LIE,5.300000000000001,3.5261372201759125,6.666666666674814e-4,6.666666666674814e-4,0.5993600000000008,7.492,3.638461538461538,0,0,0,43.5,0.42888888888889,0.01,0.01,14.984,3.746,56.35,1.9,0,0
LKA,7.220000000000001,3.800263619477561,4.18043490196921,0,4.8848400000000005,5.87,0,5.75,0,0,33.9,0.447241592058589,62.70652352953815,-2.4798404095869104,122.121,2.935,80.52,4.3,0,0
LSO,7.96,1.4836208151147172,0,9.092945368807438,0.22408000000000072,0,4.647692307692308,10,0,0,30.2,0.292142857142858,-100,136.39418053211156,5.602,0,49.79,6,0,0
LTU,3,10,0,0,2.7141199999999994,3.3580000000000005,3.1246153846153844,2,0,0,55,0.882696120570234,-48.94947898889988,-56.47005906209262,67.853,1.679,59.69,2.8,0,0
LUX,5.240000000000001,7.5422609435827095,0,0,2.0448000000000004,0,3.172307692307692,3,0,0,43.8,0.697767503922841,-53.851655720229694,-31.204545967805362,51.12,0,59.38,3.2,0,0
LVA,1.42,10,0,0,3.68996,6.514,3.7338461538461543,3.5,0,0,62.9,0.864632392022289,-19.480417336779507,-39.91388131002756,92.249,3.257,55.73,3.4,0,0
