"","Countryname","Country","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK","RELIABILITY_UNDERLYING_HEALTH","RELIABILITY_UNDERLYING_FOOD_SECURITY","RELIABILITY_UNDERLYING_MACRO_FISCAL","RELIABILITY_UNDERLYING_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_UNDERLYING_NATURAL_HAZARDS","RELIABILITY_UNDERLYING_FRAGILITY_INSTITUTIONS","RELIABILITY_EMERGING_HEALTH","RELIABILITY_EMERGING_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_EMERGING_MACRO_FISCAL","RELIABILITY_EMERGING_NATURAL_HAZARDS","RELIABILITY_EMERGING_FRAGILITY_INSTITUTIONS"
"96","Lebanon","LBN",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0
"97","Liberia","LBR",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"98","Libya","LBY",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0
"99","Saint Lucia","LCA",0.2,0.4,0,1,0.25,0,0,0,0.333333333333333,1,1,0.25,0.333333333333333,0.333333333333333
"100","Liechtenstein","LIE",0.2,0.5,0,1,0,0,0,0,0,1.5,1.66666666666667,0,0.333333333333333,0.666666666666667
"101","Sri Lanka","LKA",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"102","Lesotho","LSO",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"103","Lithuania","LTU",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"104","Luxembourg","LUX",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333
"105","Latvia","LVA",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"106","Morocco","MAR",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"107","Moldova Republic of","MDA",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"108","Madagascar","MDG",0,0.1,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0
"109","Maldives","MDV",0,0.6,0,0,0.25,0,0,0,0.333333333333333,1.5,1.66666666666667,0.25,0.333333333333333,0.333333333333333
"110","Mexico","MEX",0,0.2,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0
"111","Marshall Islands","MHL",0.2,0.6,0,1,0.25,0,0,0,0.666666666666667,1.5,1.66666666666667,0.25,0.333333333333333,0.333333333333333
"112","North Macedonia","MKD",0,0.3,0,0,0,0,0,0,0.333333333333333,1,1.33333333333333,0,0.333333333333333,0
"113","Mali","MLI",0,0.2,0,0,0,0,0,0,0,0.5,1,0,0.333333333333333,0
"114","Malta","MLT",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0
"115","Myanmar","MMR",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"116","Montenegro","MNE",0,0.3,0,0,0,0,0,0,0.333333333333333,1,1.66666666666667,0,0.333333333333333,0
"117","Mongolia","MNG",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"118","Mozambique","MOZ",0,0.1,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0
"119","Mauritania","MRT",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"120","Mauritius","MUS",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0.333333333333333
"121","Malawi","MWI",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"122","Malaysia","MYS",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"123","Namibia","NAM",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"124","Niger","NER",0,0.2,0,0,0,0,0,0,0,0.5,1,0,0.333333333333333,0
"125","Nigeria","NGA",0,0.1,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"126","Nicaragua","NIC",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"127","Netherlands","NLD",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"128","Norway","NOR",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"129","Nepal","NPL",0,0.2,0,0,0,0,0,0,0,1,1.33333333333333,0,0,0
"130","Nauru","NRU",0.2,0.8,0,1,0.25,0,0,0,1,1.5,1.66666666666667,0.25,0.333333333333333,0.666666666666667
"131","New Zealand","NZL",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0.333333333333333
"132","Oman","OMN",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0
"133","Pakistan","PAK",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"134","Panama","PAN",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"135","Peru","PER",0,0.4,0,0,0,0,0,0,0,1.5,0,0,0.333333333333333,0
"136","Philippines","PHL",0,0.3,0,0,0,0,0,0,0,1.5,0,0,0,0
"137","Palau","PLW",0.2,0.8,0,1,0.25,0,0,0,1,1.5,1.66666666666667,0.25,0.333333333333333,0.666666666666667
"138","Papua New Guinea","PNG",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0.333333333333333
"139","Poland","POL",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"140","Korea DPR","PRK",0,0.6,0,0,0,0,0,0,1,1.5,1.66666666666667,0,0.333333333333333,0
"141","Portugal","PRT",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"142","Paraguay","PRY",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"143","Qatar","QAT",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"144","Romania","ROU",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0,0.333333333333333
"145","Russian Federation","RUS",0,0.2,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0
"146","Rwanda","RWA",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"147","Saudi Arabia","SAU",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"148","Sudan","SDN",0,0.2,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.333333333333333,0
"149","Senegal","SEN",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"150","Singapore","SGP",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333
"151","Solomon Islands","SLB",0,0.6,0,0,0.25,0,0,0,0.333333333333333,1.5,1,0.25,0.333333333333333,0.333333333333333
"152","Sierra Leone","SLE",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"153","El Salvador","SLV",0,0.2,0,0,0,0,0,0,0,0.5,0.333333333333333,0,0.333333333333333,0
"154","Somalia","SOM",0,0.2,0,0,0,0,0,0,0,0.5,1.33333333333333,0,0.333333333333333,0
"155","Serbia","SRB",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"156","South Sudan","SSD",0,0.2,0,0,0.25,0,0,0,0,0.5,0.666666666666667,0.25,0.333333333333333,0
"157","Sao Tome and Principe","STP",0,0.5,0,0,0,0,0,0,0.333333333333333,1.5,1,0,0.333333333333333,0.333333333333333
"158","Suriname","SUR",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0
"159","Slovakia","SVK",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"160","Slovenia","SVN",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"161","Sweden","SWE",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"162","Eswatini","SWZ",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"163","Seychelles","SYC",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0.333333333333333
"164","Syria","SYR",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0
"165","Chad","TCD",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"166","Togo","TGO",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"167","Thailand","THA",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
