Country,Countryname,Emerging_Health,Emerging_Food Security,Emerging_Socioeconomic Vulnerability,Emerging_Macro Fiscal,Emerging_Natural Hazard,Emerging_Conflict and Fragility,Emerging_Number of Emerging Threat Flags,Underlying_Health,Underlying_Food Security,Underlying_Macro Fiscal,Underlying_Socioeconomic Vulnerability,Underlying_Natural Hazard,Underlying_Conflict and Fragility,Underlying_Number of Underlying Vulnerability Flags,Overall_Health,Overall_Food Security,Overall_Macro Fiscal,Overall_Socioeconomic Vulnerability,Overall_Natural Hazard,Overall_Conflict and Fragility,Overall_Number of Overall Alert Flags,Underlying_Indicator Reliability,Emerging_Indicator Reliability
MNE,Montenegro,1.82,1,NA,3.04137323943662,0,0,0,5.26,1.17224880382775,6.70748215604234,3,5.5,0,0,3.094058822970242,1.0827043935570548,4.51663112655725,NA,0,0,0,0,0.3
NGA,Nigeria,6.53984873047028,10,10,9.95158450704226,0,10,3.5,9.75,8.49282296650718,10,7.14285714285714,5,10,3.5,7.985206642416038,9.215651342421316,9.975762881625775,8.451542547285165,0,10,5,0,0.1
PNG,Papua New Guinea,10,NA,7,8.63116197183099,7,0,2.5,9.25,10,5.79067191730249,8.85714285714286,9.5,10,3.5,9.617692030835672,NA,7.069669528625146,7.874007874011812,8.154753215150045,0,4,0,0.4
ROU,Romania,10,NA,10,2.16109154929577,0,0,2,4.84,2.46411483253589,4.46160472557224,2.42857142857143,5.16666666666667,0,0,6.957010852370434,NA,3.1051467386795495,4.928053803045813,0,0,0.5,0,0.4
ZAF,South Africa,10,3,10,7.44278169014085,0,10,3.5,6.75,5.43062200956938,4.26470588235294,6,6.5,0,0,8.215838362577491,4.0363183755383,5.63393955017379,7.745966692414834,0,0,2.5,0,0.3
TJK,Tajikistan,8.60615384615385,NA,7.55248778206961,5.99031690140846,0,9.04290326669846,1.5,7.54,5.90909090909091,10,6.28571428571429,8,0,2,8.055457777184362,NA,7.739713755306755,6.890049371698114,0,0,2.5,0,0.4
ZMB,Zambia,10,3,10,10,0,0,3,10,8.70813397129187,8.70723603248831,8.85714285714286,4.16666666666667,0,2.5,10,5.111203568033229,9.331257167439075,9.411239481143204,0,0,3.5,0,0.2
ALB,Albania,10,3,1,0,0,5,1,5.5,3.39712918660287,4.94769874476988,2.85714285714286,9,0,0.5,7.416198487095663,3.192395269982809,0,1.690308509457034,0,0,1,0,0.3
ATG,Antigua and Barbuda,6.66666666667481e-4,1,NA,NA,0,0,0,8.2,NA,NA,2.71428571428571,4.5,0,0.5,0.0739369100427746,1,NA,NA,0,0,0,0.2,0.4
ARG,Argentina,10,7,10,8.45510563380282,0,0,3,3.5,2.27272727272727,10,2.42857142857143,5,0,1,5.916079783099616,3.9886201760873257,9.195164834739407,4.928053803045813,0,0,1.5,0,0.2
BRB,Barbados,2.50215775769688,NA,10,9.29137323943663,0,0,1.5,7.62,1.81818181818182,5.49532365247354,3.28571428571428,4.66666666666667,0,0.5,4.366513725347743,NA,7.145565276913773,5.732115042211103,0,0,1.5,0,0.4
BOL,Bolivia,10,1,10,2.68926056338029,7,0,2.5,7.25,8.08612440191388,6.55365493477726,6.28571428571429,6.16666666666667,0,1,8.514693182963201,2.843611155188747,4.198152660647194,7.928249671720922,6.570134448142342,0,2.5,0,0.3
BFA,Burkina Faso,10,10,7,2.20510563380281,0,10,3.5,10,8.75598086124402,3.37250799901551,9.71428571428571,4.5,10,3,10,9.357339825636354,2.7270380247943264,8.24621125123532,0,10,4,0,0.1
DMA,Dominica,5.57692307692308,1,0,NA,0,0,0,9.2,5.50239234449761,NA,5.14285714285714,6.5,0,0.5,7.16293880384946,2.3457178740201496,NA,0,0,0,1,0,0.4
EGY,Egypt,6.41897053912513,NA,10,7.44278169014085,0,0,1.5,6.02,1.79425837320574,6.29522520305193,5,6.5,0,0,6.216285277039116,NA,6.844997215235965,7.0710678118654755,0,0,2,0,0.4
SLV,El Salvador,7.35707179632413,10,8.85666666666667,4.66989436619719,0,9.12862417558222,2.5,5.5,4.97607655502392,2.68951513659857,6.28571428571429,9.16666666666667,0,0.5,6.361123712032546,7.054131098174969,3.5439739818745464,7.461265052956921,0,0,2.5,0,0.2
ERI,Eritrea,10,NA,7,4.8899647887324,5,0,1.5,9.75,10,9.0887275412257,8.57142857142857,4.5,10,3.5,9.874208829065749,NA,6.666600156824772,7.745966692414833,4.743416490252569,0,2.5,0,0.4
GEO,Georgia,7.592,5,10,4.00968309859156,0,10,2.5,5,4.92822966507177,1.83423578636475,3.28571428571428,5.83333333333333,0,0,6.161168720299745,4.963985125416761,2.7119557945177752,5.732115042211103,0,0,1,0,0.3
GTM,Guatemala,7.33386927594154,10,7,6.87059859154929,0,0,2,7.46,6.50717703349282,4.07396012798425,7.57142857142857,9.5,0,1.5,7.396665789294788,8.066707527543576,5.290609106459913,7.280109889280518,0,0,3.5,0,0.1
LSO,Lesotho,4.64769230769231,5,9.32857174246867,5.37411971830987,0,0,0.5,10,8.75598086124402,5.77221265075068,8.85714285714286,2.5,0,2,6.817398556408676,6.616638444574412,5.569610563107345,9.089801569679675,0,0,2.5,0,0.3
MUS,Mauritius,1.44307692307692,3,10,3.56954225352113,10,0,2,7.02,1.79425837320574,0.745139059808025,2.85714285714286,4.5,0,0.5,3.182828930369959,2.3200808433365463,1.630890970829673,5.34522483824849,6.708203932499369,0,1,0,0.3
MMR,Myanmar,10,1,6.58328519548689,10,0,10,3,7,7.08133971291866,8.40573467880876,7.14285714285714,10,10,4,8.366600265340756,2.6610786746954065,9.168279379910256,6.857365797596712,0,10,3.5,0,0.3
PAK,Pakistan,7.39366120565945,5,6.1,5.90228873239436,7,9.18146284354581,1.5,8.25,6.62679425837321,9.01489047501846,7.57142857142857,10,0,2.5,7.810102748792135,5.756211539881596,7.294414745164323,6.796007231140523,8.366600265340756,0,4,0,0.3
SYC,Seychelles,10,NA,3,7.97095070422536,0,0,1.5,7.62,2.20095693779904,4.46160472557224,2.28571428571429,3,0,0.5,8.729261137118078,NA,5.963491538459264,2.618614682831911,0,0,1.5,0,0.4
ESP,Spain,3.43692307692308,3,9,0,0,0,0.5,2,0,2.90487324636968,0.714285714285714,5.16666666666667,0,0,2.6218020813642973,0,0,2.535462764185549,0,0,0,0,0.3
SUR,Suriname,10,NA,7.57333333333333,2.24911971830987,0,0,1.5,6.7,5.52631578947368,9.52559684961851,4.85714285714286,4.83333333333333,0,0.5,8.18535277187245,NA,4.628629138648653,6.065044262390994,0,0,1.5,0,0.4
SYR,Syria,6.27384615384615,10,7,10,7,0,3,10,6.17224880382775,10,10,7.83333333333333,10,4.5,7.920761424160022,7.856366083519625,10,8.366600265340756,7.404953297174353,0,5,0,0.3
TLS,Timor-Leste,3.40615384615385,1,7,5.55017605633803,0,0,0.5,8.8,9.30622009569378,1.95729756337682,7.28571428571429,6,10,2.5,5.4748656464021,3.0506097907949123,3.2959590518364745,7.141428428542852,0,0,1.5,0,0.3
TTO,Trinidad and Tobago,10,NA,0,3.34947183098591,0,3.56614453152189,1,6.68,2.89473684210526,3.88936746246616,2.85714285714286,3.66666666666667,0,0,8.17312669668102,NA,3.609338825309083,0,0,0,1,0,0.4
TUN,Tunisia,10,NA,10,7.31073943661972,0,10,3.5,7.26,2.05741626794258,6.71978833374354,3.57142857142857,5.66666666666667,0,0.5,8.520563361656317,NA,7.0090385629725285,5.976143046671967,0,0,2.5,0,0.4
UGA,Uganda,10,7,10,1.36883802816901,5,10,3.5,10,10,7.55045532857495,8.71428571428571,5.66666666666667,0,3,10,8.366600265340756,3.21486397593191,9.335033858688307,5.322906474223772,0,3.5,0,0.2
VEN,Venezuela,5.39913543259416,10,0,9.81954225352111,7,0.674334647390442,2,9.4,5.07177033492823,10,5.14285714285714,8.5,10,3,7.1240348866625505,7.121636283136222,9.909360349447946,0,7.713624310270756,2.5967954239609288,4,0,0.3
AGO,Angola,6.44307692307692,10,9.46943355444598,9.29137323943663,10,6.39289191782137,3,9,9.83253588516746,10,8.14285714285714,3.5,0,2.5,7.614965023405707,9.915914423373902,9.639176956274136,8.781130033067015,5.916079783099616,0,4.5,0,0.1
BHS,Bahamas,2.906,1,10,3.12940140845071,0,0,1,7.88,3.58851674641148,4.3939207482156,3.42857142857143,4,0,0.5,4.785319216102517,1.8943380760602053,3.7081453286092625,5.8554004376912,0,0,0.5,0,0.3
BLZ,Belize,4.1025641025641,NA,10,2.68926056338029,0,10,2,7.64,4.66507177033493,6.0121831159242,5.42857142857143,7.5,0,1,5.598534606804688,NA,4.0209858186116225,7.367883976130074,0,0,1.5,0,0.4
BIH,Bosnia and Herzegovina,8.03729852805764,1,10,10,0,1.69529125743,2.5,5.44,3.22966507177033,4.11087866108787,3.71428571428571,5.16666666666667,0,0,6.612329694792416,1.79712689361946,6.411613417142264,6.094494002200436,0,0,1.5,0,0.3
BWA,Botswana,10,3,10,1.19278169014085,0,0,2,7.78,6.9377990430622,1.61887767659365,6.42857142857143,2.83333333333333,0,0.5,8.820430828479978,4.562170221417281,1.3895926205973699,8.017837257372731,0,0,2,0,0.3
BRN,Brunei Darussalam,5.28923076923077,3,7,1.50088028169014,7,0,1,7.48,1.81818181818182,0.763598326359833,2.14285714285714,3,0,0.5,6.2899480247332855,2.33549683248457,1.0705464357817767,3.8729833462074144,4.58257569495584,0,0.5,0,0.4
BGR,Bulgaria,7.39449753767835,5,10,2.95334507042253,0,0,1.5,4.88,2.41626794258373,2.45569776027566,2.71428571428571,4.33333333333333,0,0,6.0070914745715625,3.4758221635921838,2.693050848899398,5.209880722517273,0,0,1,0,0.3
CYP,Cyprus,7.45032,1,3.09333333333333,0,0,0,0.5,5.4,2.12918660287081,4.11703174993847,0.857142857142856,5.5,0,0,6.34284857142278,1.459173260058863,0,1.6283207827171418,0,0,0.5,0,0.3
DJI,Djibouti,5.48153846153846,5,2.833476810841,5.63820422535212,5,0,0,9.36,8.25358851674641,5.5999261629338,8.14285714285714,7.33333333333333,0,2,7.162904438843226,6.424012965719485,5.619032599434998,4.803394309056535,6.055300708194982,0,2.5,0,0.3
ECU,Ecuador,7.10682595632296,3,10,10,7,0,3,4.75,5.14354066985646,5.63684469603741,4.85714285714286,9.83333333333333,0,0.5,5.810113879480682,3.928183041759813,7.5078923114529355,6.969320524371699,8.296585643102427,0,3,0,0.3
GNQ,Equatorial Guinea,0.20400000000000101,5,NA,5.77024647887324,0,0,0,10,5.4066985645933,8.49187792271721,6.14285714285714,3.16666666666667,0,1.5,1.4282856857085735,5.199374272253008,7.00001633445097,NA,0,0,1.5,0,0.4
FJI,Fiji,10,1,10,NA,0,0,2,8.86,4.90430622009569,NA,4.57142857142857,4.83333333333333,0,0.5,9.412757300600074,2.2145668244818646,NA,6.761234037828132,0,0,1.5,0,0.4
GRC,Greece,4.51237844064889,3,8.50333333333334,7.09066901408451,0,0,1,3.25,0.119617224880383,4.1785626384445,0.857142857142856,8.16666666666667,0,0.5,3.829520848893356,0.5990422978731543,5.4432347573689706,2.6997354367736524,0,0,0.5,0,0.2
GUY,Guyana,5.67392,NA,0,9.64348591549297,0,0,0.5,7.66,4.66507177033493,3.1448437115432,6.14285714285714,4.66666666666667,0,0.5,6.592588808654761,NA,5.507018797742885,0,0,0,1,0,0.4
