"","Countryname","Country","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning"
"76","Indonesia","IDN",0.377,5.23923444976077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","India","IND",0.458,7.17703349282297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Ireland","IRL",0.119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,1,NA
"79","Iran","IRN",0.282,2.96650717703349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Iraq","IRQ",0.405,5.90909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-0.02,-0.01,0,0,-0.01,-0.02,1,NA
"81","Iceland","ISL",0.181,0.55023923444976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.06,0.05,0.06,0.06,0.07,0.07,0.06,5,NA
"82","Israel","ISR",0.129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,0.01,0,0,0,0,0,1,NA
"83","Italy","ITA",0.113,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,1,NA
"84","Jamaica","JAM",0.334,4.21052631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Jordan","JOR",0.264,2.53588516746411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Japan","JPN",0.249,2.17703349282297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.01,0.02,0.03,0.02,0.01,0,0.01,1,NA
"87","Kazakhstan","KAZ",0.211,1.26794258373206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Kenya","KEN",0.593,10,"Kenya",779,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",51906764.9157,5821805.5625,11.2158898208259,0,0,1506063.3125,2.90147789974187,0,0,11.2158898208259,NA,2.90147789974187,NA,8.31441192108398,"High risk",2021-02-01,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Kyrgyzstan","KGZ",0.314,3.73205741626794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Cambodia","KHM",0.548,9.33014354066986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Kiribati","KIR",0.399,5.76555023923445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Saint Kitts and Nevis","KNA",0.326,4.01913875598086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,NA,NA,NA,NA,NA,0,1,NA
"93","Korea Republic of","KOR",0.178,0.47846889952153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.03,0.04,0.07,0.08,0.08,0.07,0.03,3,NA
"94","Kuwait","KWT",0.185,0.645933014354066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
