"","Countryname","Country","D_WB_external_debt_distress","D_overall_debt_distress","D_debt_date","D_WB_external_debt_distress_norm","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020.2019","D_IMF_debt2020.2019_norm","D_fiscalgdpnum","D_fiscalgdpnum_norm","D_EconomicSupportIndexForDisplay_norm","D_fiscal","D_ratecut","D_reserve_req","D_macrofin","D_othermonetary","D_bopgdp","D_otherbop","D_CESI_Index","D_CESI_Index_norm","D_CPIA.scores","D_CPIA.scores_norm"
"36","Congo","COG","In distress","In distress","Jan-20",10,-7.387,6.617,5.8,5.7,6.1,-0.1,0.199999999999999,NA,NA,7.5,0.136470588235294,11.9047619047619,0,2.22586961529601,1,0,0,-1.57703665568531,9.86452816655492,3,9.52380952380952
"37","Colombia","COL",NA,NA,NA,NA,-2.496,-4.676,-2.2,-2.5,-1.3,-0.3,0.6,1.5,9.02527075812274,3.75,2.8,58.8235294117647,24.7474747474747,1.17415636103021,1,0.42696594946553,1,1.09218162903431,4.27849659547189,NA,NA
"38","Comoros","COM","Moderate","Moderate","Apr-20",7,0.351,-1.038,-2.2,-3.8,-2.7,-1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.52380952380952
"39","Cabo Verde","CPV","High","High","Apr-20",10,-2.972,-2.818,-1.8,-8.3,-4.3,-6.5,10,NA,NA,2.5,2.86909090909091,83.3333333333333,23.0769230769231,0,1,0,0,0.468367708400886,5.58398902188295,4,4.76190476190476
"40","Costa Rica","CRI",NA,NA,NA,NA,-6.178,-5.905,-7,-7.8,-7.1,-0.8,1.6,NA,NA,5,0.494815705573731,66.6666666666667,0,0.00460695448890294,1,0,1,0.470881156844624,5.57872897910587,NA,NA
"41","Cuba","CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Cyprus","CYP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6.85920577617328,0,13.4729534866921,0,0,23.8245140032949,1,0,0,-0.322858033951129,7.23983410654085,NA,NA
"43","Czech Republic","CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,6.93140794223827,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Germany","DEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,6.57039711191336,6.25,20.321516902443,0,100,44.7466528604711,1,0,0,2.86502644023762,0.56835900848445,NA,NA
"45","Djibouti","DJI","High","High","May-20",10,-4.53,-2.782,-0.8,-2.7,-1.7,-1.9,3.8,2.4,8.37545126353791,8.75,2.4,0,0,0,1,0,0,-1.80281139838597,10,4,4.76190476190476
"46","Dominica","DMA","High","…","Sep-18",10,0.272,-19.73,-9.2,-4.5,-0.6,4.6,0,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2.38095238095238
"47","Denmark","DNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,5.9927797833935,1.25,15.971452307998,-20,100,7.81448026361269,1,0,0,0.791127447880876,4.90853055341261,NA,NA
