"","Country","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_CONFLICT","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_CONFLICT","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM"
"85","ITA",0,0,1.75327251090837,3.22701688555347,NA,2.29166666666667,0,7.94326241134752,10,NA,NA,10,0,6.2962962962963,0,1,0,1
"86","JAM",7,4.21052631578947,4.00634668782229,10,NA,8.125,3.4554065772797,5.28368794326241,7.37179487179487,0,NA,7.52577319587629,3.4554065772797,5.55555555555556,1,0,1.5,0.5
"87","JOR",2.63333333333333,2.53588516746411,3.80007933359778,10,NA,8.95833333333333,8.17824027749984,5.89225589225589,0,0,NA,5.82051282051282,8.17824027749984,2.96296296296296,1,0,1.5,0.5
"88","JPN",0,2.17703349282297,0,4.20262664165103,NA,2.70833333333333,0,9.36170212765957,10,0,NA,7.36716891356067,0,8.88888888888889,0,0,1,1
"89","KAZ",3.1,1.26794258373206,3.16541055136851,1.80112570356473,NA,0.625,0,5.28368794326241,0,0,NA,8.47739888977002,0,7.77777777777778,0,0,1,1
"90","KEN",0.966666666666665,10,6.08488694962317,5.42213883677298,10,1.875,8.68521112667601,5.21885521885522,0,10,0.44378698224852,4.41025641025641,8.68521112667601,10,2,2,2.5,2.5
"91","KGZ",0.233333333333334,3.73205741626794,4.53788179293931,6.43527204502814,7,1.04166666666667,3.48208925355213,NA,0,0,6.12426035502959,10,3.48208925355213,5.68648183397375,0,1,0,1
"92","KHM",3.6,9.33014354066986,4.22848076160254,10,3,3.125,5.45660729771196,8.24915824915825,0,0,1.86390532544379,9.53846153846154,5.45660729771196,9.62962962962963,1,0,2,1
"93","KIR",10,5.76555023923445,NA,10,10,8.95833333333333,0,NA,0,NA,10,1.46153846153846,0,0,3,1,3,1
"94","KNA",7.93333333333333,4.01913875598086,NA,4.09005628517824,NA,5.20833333333333,2.06790741111334,NA,0,NA,NA,10,2.06790741111334,0.421392631797415,0,1,0,1
"95","KOR",10,0.47846889952153,2.64974216580722,0.375234521575983,NA,6.45833333333333,0,9.36170212765957,5.48004314994606,0.10483870967742,NA,2.61538461538461,0,7.40740740740741,1,0,1.5,0.5
"96","KWT",1.3,0.645933014354066,2.07060690202301,0,NA,5.20833333333333,0,6.70212765957447,4.15678184631253,0,NA,5.78112609040444,0,9.62962962962963,0,0,0.5,0.5
"97","LAO",2.3,8.66028708133971,2.12614042046807,4.05253283302064,10,1.04166666666667,5.33653525448603,7.23905723905724,0,NA,1.15384615384615,3.64102564102564,5.33653525448603,7.77777777777778,1,0,1.5,0.5
"98","LBN",2.3,3.37320574162679,10,10,NA,10,3.22860382896405,6.22895622895623,6.4823955248437,0.15,NA,5.56410256410256,3.22860382896405,4.08212270475872,3,0,3,0
"99","LBR",4.96666666666667,9.73684210526316,2.82427608092027,10,10,5.625,5.04302581548929,9.09090909090909,0,0,0.44378698224852,0,5.04302581548929,7.81890821658391,2,0,2.5,0.5
"100","LBY",8.1,3.42105263157895,10,10,NA,4.375,0,10,8.11689497716895,0,NA,10,0,5.5673806929597,3,1,3,1
"101","LCA",4.9,NA,NA,10,NA,5.625,2.06790741111334,NA,0,NA,4.05325443786982,10,2.06790741111334,0.838518204975282,1,1,1,1
"102","LIE",2.16666666666667,NA,NA,NA,NA,2.29166666666667,NA,NA,6.66666666666667,NA,NA,NA,NA,0,0,0,0,0
"103","LKA",5.36666666666667,5.66985645933014,3.59381197937326,4.54033771106942,NA,2.29166666666667,2.52151290774465,4.54545454545454,0,0,NA,5.30531324345757,2.52151290774465,8.88888888888889,0,0,0.5,0.5
"104","LSO",6.6,8.75598086124402,5.029750099167,8.19887429643527,7,5.20833333333333,4.09579080781802,8.92255892255892,0,0,0,6.8913560666138,4.09579080781802,10,0,1,0,1
