"","Countryname","Country","C_GPI_Score","C_GPI_Score_norm","C_ACLED_fatal_last30d","C_ACLED_fatal_oneyear30d","C_ACLED_fatal_oneyearmonthlyav","C_ACLED_fatal_threeyearmonthlyav","C_ACLED_fatal_same_month_difference","C_ACLED_fatal_month_annual_difference","C_ACLED_fatal_month_threeyear_difference","C_ACLED_fatal_same_month_difference_perc","C_ACLED_fatal_month_annual_difference_perc","C_ACLED_fatal_month_threeyear_difference_perc","C_ACLED_event_last30d","C_ACLED_event_oneyear30d","C_ACLED_event_oneyearmonthlyav","C_ACLED_event_threeyearmonthlyav","C_ACLED_event_same_month_difference","C_ACLED_event_month_annual_difference","C_ACLED_event_month_threeyear_difference","C_ACLED_event_same_month_difference_perc","C_ACLED_event_month_annual_difference_perc","C_ACLED_event_month_threeyear_difference_perc","C_ACLED_fatal_same_month_difference_perc_norm","C_ACLED_fatal_month_annual_difference_perc_norm","C_ACLED_fatal_month_threeyear_difference_perc_norm","C_ACLED_event_same_month_difference_perc_norm","C_ACLED_event_month_annual_difference_perc_norm","C_ACLED_event_month_threeyear_difference_perc_norm"
"134","Panama","PAN",1.804,2.14994049980167,0,0,0.166666666666667,0.0555555555555556,0,-0.166666666666667,-0.0555555555555556,NA,-100,-100,22,32,25.9166666666667,9.55555555555556,-10,-3.91666666666667,12.4444444444444,-31.25,-15.112540192926,130.232558139535,NA,0,0,0,0,0
"135","Peru","PER",2.016,3.83181277270924,0,5,4.08333333333333,1.5,-5,-4.08333333333333,-1.5,-100,-100,-100,36,54,67.6666666666667,24.2777777777778,-18,-31.6666666666667,11.7222222222222,-33.3333333333333,-46.7980295566502,48.2837528604119,0,0,0,2.66666666666667,2.12807881773399,5.93135011441648
"136","Philippines","PHL",2.516,7.79849266164221,47,163,121.416666666667,45.3611111111111,-116,-74.4166666666667,1.63888888888889,-71.1656441717791,-61.2903225806452,3.61298224127372,62,205,150.5,55.9166666666667,-143,-88.5,6.08333333333334,-69.7560975609756,-58.8039867109634,10.8792846497765,1.92229038854806,2.58064516129032,0.361298224127374,1.20975609756097,1.64784053156146,4.43517138599106
"137","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Papua New Guinea","PNG",2.118,4.64101547005157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Poland","POL",1.654,0.959936533121777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Korea DPR","PRK",2.921,10,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,1,6,2.16666666666667,0.888888888888889,-5,-1.16666666666667,0.111111111111111,-83.3333333333333,-53.8461538461538,12.5,NA,0,0,0,0,0
"141","Portugal","PRT",1.274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Paraguay","PRY",2.055,4.14121380404602,0,0,0.833333333333333,0.277777777777778,0,-0.833333333333333,-0.277777777777778,NA,-100,-100,49,63,52.4166666666667,19.5555555555556,-14,-3.41666666666666,29.4444444444444,-22.2222222222222,-6.51828298887122,150.568181818182,NA,0,0,3.11111111111111,3.73926868044515,10
"143","Qatar","QAT",1.696,1.29313764379215,0,0,0,0,0,0,0,NA,NA,NA,0,2,0.25,0.138888888888889,-2,-0.25,-0.138888888888889,-100,-100,-100,NA,NA,NA,0,0,0
