"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"21","Haiti","HTI",1.55802755361286,4.8899647887324,NA,10,10,6.07561247066451,9.85714285714285,5,10,4,5,8.36231326737079,4.12470453950156,10,10,0,0,0,10,3,3,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,10,10,5.95880075753696,9.85610760609162,0,10,4,4.5,10,10,7.26126015259661,9.71428571428571,10,10,4,5,10,10,10,4.8899647887324,0,10,4,4,6.99282831816455,140.065089892172,NA,87.5615637062968,NA,34.3174292512307,NA,0,0.1
"22","Honduras","HND",1.70242414165828,2.24911971830987,NA,7.40236395377546,8.07416267942584,3.04463123498561,6.53047619047619,4.58333333333333,5,2,3,2.17772553392375,7.95281579539657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,7.3235027586553,7.84112578578591,2.93886726203928,6.42228263826144,0,0,2,2.5,8.48,6.14832535885167,3.84014275166134,7.71428571428572,9.16666666666667,0,0,1.5,6.32472790755092,10,5.34666666666667,2.24911971830987,0,10,2,2,4.74248850110348,109.882657037841,NA,126.007588881285,NA,76.149961050859,96.7853068582916,0,0.2
"23","Peru","PER",2.30289264833616,10,NA,7.875,NA,5.28950283042087,7.35714285714285,5,0,2,3,1.77827941003892,8.97579452547576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,7.58287544405155,NA,2.40625364590216,6.86606562325595,0,0,1,1.5,5.75,6.65071770334928,0.579005660841744,4.71428571428571,10,0,1,1,10,NA,10,10,0,0,3,3,3.16227766016838,112.527773879672,NA,NA,NA,NA,110.656884455476,0,0.4
"24","Serbia","SRB",1.87027333303693,4.66989436619718,NA,7.125,3.44976076555024,4.99954230985222,6.14285714285715,2.91666666666667,0,1,1.5,1.47003191720861,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51920240520265,3.42031644636888,4.98866270068908,4.78091443733758,0,0,0,0.5,4.25,3.89952153110048,5.32919025350726,2.28571428571429,5.83333333333333,0,0,0,10,3,10,4.66989436619718,0,0,2,2,2.16099383761203,149.272457695915,NA,NA,NA,NA,NA,0,0.3
"25","Somalia","SOM",0.612836020789936,9.51144366197182,NA,9.22170447755538,10,9.75572183098591,8,9.91666666666666,10,6,6,9.87555722615752,9.18880240026455,0,10,0,0,0,10,2,2,10,10,10,10,10,10,6,6,10,10,10,10,10,10,6,6,9.18880240026455,10,9.7526630527112,7.93725393319377,9.91631652042901,10,6,6,10,10,10,9,9.83333333333333,10,4,5,8.44340895511076,10,7,9.51144366197182,10,10,3,4.5,9.75266305271121,243.665986539028,NA,86.6025403784439,173.205080756888,0,NA,0,0.1
"26","Yemen","YEM",0.713654843000661,10,NA,8.62153846153846,10,10,NA,5.25,10,4,4.5,10,6.59883683114558,0,10,10,0,0,10,3,3,10,10,10,0,0,10,4,4,10,10,10,0,0,10,4,4,8.51062684123615,10,10,NA,5.24404424085076,10,4,4.5,10,10,10,10,5.5,10,5,5,7.24307692307692,10,NA,10,5,10,3,3.5,10,235.269224324929,NA,104.740035781509,NA,0,NA,0,0.2
"27","Armenia","ARM",NA,4.44982394366198,NA,4.507,1.85167464114832,4.39725999053638,6.35714285714285,2.91666666666667,0,0,0.5,1.45239821715878,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4783925687684,1.64418651079999,4.39694580990076,5.20988072251727,0,0,0,0.5,4,2.70334928229665,4.34469603741078,2.71428571428571,5.83333333333333,0,0,0,5.014,1,10,4.44982394366198,0,0,1,1,2.10946058120601,163.679899649511,NA,NA,NA,NA,NA,0,0.3
"28","Cameroon","CMR",1.56654393756117,5.99031690140845,NA,9.625,9.06698564593302,5.9397191201603,7.71428571428572,2.16666666666667,10,4,4.5,8.79756429661458,5.55580177804234,0,0,0,0,0,10,1,1,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,9.61769203083567,9.01885319309835,5.93950360644141,7.68114574786861,0,10,4,4.5,9.25,8.13397129186603,5.88912133891214,8.42857142857143,4.33333333333333,10,1,2.5,10,10,7,5.99031690140845,0,10,3,3.5,7.73971375530675,147.229439595422,NA,103.27534762249,NA,76.149961050859,NA,0,0.2
"29","Colombia","COL",1.94263420690647,2.11707746478873,NA,7.875,5.03588516746411,3.02168173017925,7.57142857142857,4.75,5,2,3,2.14503403430552,6.88179908526353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,7.58287544405155,5.03575730894978,2.88309757058903,7.17137165600636,0,0,2,2.5,5.75,5.07177033492823,3.92628599556978,5.14285714285714,9.5,0,0,0.5,10,5,10,2.11707746478873,0,10,3,3,4.601171008329,108.673971438001,NA,86.7961568217991,NA,NA,104.761904761905,0,0.2
"30","Congo DR","COD",0.833794244920045,9.07130281690143,NA,10,10,9.53565140845071,9.71428571428572,2.91666666666667,10,5,5,9.75927186119699,9.09740689156837,10,10,0,0,0,10,3,3,10,10,10,10,0,10,5,5,10,10,10,10,0,10,5,5,10,10,9.52433872607512,9.71008312455225,0,10,5,5,10,10,10,9.42857142857143,5.83333333333333,10,4,4.5,10,10,10,9.07130281690143,0,10,4,4.5,9.52433872607512,136.964896378987,NA,90.7930743236249,NA,24.9567099242311,NA,0,0.2
