"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_cases_controlled","H_test_and_trace","H_high_vulnerability","H_workplace_prevention","H_manage_imported_cases","H_community_understanding","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","Additional_Deaths_/_1M","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm"
"85","Jordan","JOR",42.1,5.58,0.9,0.7,NA,NA,1,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,4.438,0.056,0.887600000000001,0.280000000000001
"86","Japan","JPN",59.8,2.04,0,0.6,NA,NA,0.8,0.4,0.4,2.5,1271,2101,17,830,"7",65,1432,3678,0,108.28488372093,-23.501820742983,7.21899224806202,0,6.232,0.099,1.2464,0.494999999999999
"87","Kazakhstan","KAZ",40.7,5.86,0,0.8,NA,NA,1,0.5,0.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.2144950573742,-60.7183125614889,0,0,26.4,0.837,5.28,4.185
"88","Kenya","KEN",47.1,4.58,0,0.7,NA,NA,0.5,0.4,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.71070148489505,-51.1971417906468,0,0,4.453,0.08,0.890600000000001,0.4
"89","Kyrgyzstan","KGZ",49.3,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-676.365041208791,-60.7775885736829,0,0,20.386,-9.678,4.0772,0
"90","Cambodia","KHM",39.2,6.16,1,0.2,NA,NA,0.5,0.8,0.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"91","Kiribati","KIR",19.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Saint Kitts and Nevis","KNA",26.2,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"93","Korea Republic of","KOR",17.5,10,NA,NA,NA,NA,NA,NA,NA,NA,323,397,8,74,"1",23,323,619,0,367.5,293.611692924142,10,10,6.409,0.039,1.2818,0.195
"94","Kuwait","KWT",46.1,4.78,0,0.6,NA,NA,1,0.6,0.5,5,528,677,161,149,"35",28,551,983,3.32361516034985,-34.1356886343783,1.65163510691322,0,0.110109007127546,142.738,0.502,10,2.51
