"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"106","Morocco","MAR",56.5,56.5,61.7272727272727,0,-5.22727272727273,3.67213114754098,4.22975352112676,3.83398966281073
"107","Moldova Republic of","MDA",79,83.5,84.7727272727273,-4.5,-5.77272727272728,6.62295081967213,3.70158450704225,6.95360571006646
"108","Madagascar","MDG",89.5,89.5,92.0909090909091,0,-2.59090909090909,8,6.78257042253521,7.94425301501354
"109","Maldives","MDV",NA,NA,NA,NA,NA,NA,NA,NA
"110","Mexico","MEX",47,47,51.7727272727273,0,-4.77272727272727,2.42622950819672,4.66989436619719,2.48646320452867
"111","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,NA
"112","North Macedonia","MKD",41,55,53.3636363636364,-14,-12.3636363636364,1.63934426229508,0,2.70182131429978
"113","Mali","MLI",69.5,69.5,71.5454545454545,0,-2.04545454545455,5.37704918032787,7.31073943661972,5.16305685454098
"114","Malta","MLT",29,39.5,40.8181818181818,-10.5,-11.8181818181818,0.0655737704918042,0,1.00356879153335
"115","Myanmar","MMR",113.5,93,95.5,20.5,18,10,10,8.40573467880876
"116","Montenegro","MNE",76.5,82,82.9545454545455,-5.5,-6.45454545454545,6.29508196721312,3.04137323943662,6.70748215604233
"117","Mongolia","MNG",64,64,69.9090909090909,0,-5.90909090909091,4.65573770491803,3.56954225352113,4.94154565591927
"118","Mozambique","MOZ",80,85,84.5454545454545,-5,-4.54545454545455,6.75409836065574,4.8899647887324,6.92284026581344
"119","Mauritania","MRT",74,86.5,86,-12.5,-12,5.9672131147541,0,7.11973910903274
"120","Mauritius","MUS",33,40.5,38.9090909090909,-7.5,-5.90909090909091,0.590163934426229,3.56954225352113,0.745139059808023
"121","Malawi","MWI",82.5,87.5,89.7727272727273,-5,-7.27272727272728,7.08196721311475,2.24911971830985,7.63044548363279
"122","Malaysia","MYS",26,28.5,33.3636363636364,-2.5,-7.36363636363637,0,2.16109154929577,0
"123","Namibia","NAM",49.5,49.5,52.1818181818182,0,-2.68181818181818,2.75409836065574,6.69454225352113,2.5418410041841
"124","Niger","NER",63,63,68.2727272727273,0,-5.27272727272728,4.52459016393443,4.18573943661971,4.72003445729757
"125","Nigeria","NGA",108.5,108.5,107.818181818182,0,0.681818181818187,10,9.95158450704226,10
"126","Nicaragua","NIC",74.5,81,80.5454545454545,-6.5,-6.04545454545455,6.0327868852459,3.4375,6.38136844696037
"127","Netherlands","NLD",33.5,37.5,36.7727272727273,-4,-3.27272727272727,0.655737704918032,6.12235915492958,0.455943883829681
"128","Norway","NOR",36,41,40.0909090909091,-5,-4.09090909090909,0.983606557377049,5.33010563380282,0.905119369923701
"129","Nepal","NPL",70,70,70.2272727272727,0,-0.22727272727272,5.44262295081967,9.07130281690142,4.98461727787349
"130","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,NA
"131","New Zealand","NZL",28.5,31,35.5454545454545,-2.5,-7.04545454545454,0,2.46919014084508,0.2898104848634
"132","Oman","OMN",51,58.5,58.0454545454545,-7.5,-7.04545454545455,2.95081967213115,2.46919014084507,3.33558946591189
"133","Pakistan","PAK",96.5,96.5,100,0,-3.5,8.91803278688525,5.90228873239437,9.01489047501846
"134","Panama","PAN",32,32,39.2727272727273,0,-7.27272727272727,0.459016393442623,2.24911971830986,0.794363770612847
"135","Peru","PER",39.5,30,37.6818181818182,9.5,1.81818181818181,1.44262295081967,10,0.579005660841743
"136","Philippines","PHL",63.5,73,72.6363636363636,-9.5,-9.13636363636364,4.59016393442623,0.444542253521123,5.31073098695545
"137","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,NA
"138","Papua New Guinea","PNG",75.5,75.5,76.1818181818182,0,-0.681818181818187,6.16393442622951,8.63116197183099,5.79067191730249
"139","Poland","POL",39.5,42,48.6363636363636,-2.5,-9.13636363636364,1.44262295081967,0.444542253521123,2.06190007383707
"140","Korea DPR","PRK",131,131,133.954545454545,0,-2.95454545454544,10,6.43045774647889,10
"141","Portugal","PRT",56,56,54.5909090909091,0,1.40909090909091,3.60655737704918,10,2.86795471326606
"142","Paraguay","PRY",58,55.5,65.3181818181818,2.5,-7.31818181818181,3.86885245901639,2.20510563380282,4.32008368200837
"143","Qatar","QAT",44,49.5,53.5,-5.5,-9.5,2.0327868852459,0.0924295774647881,2.72028058085159
