Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
CPV,8.14,3.612880095641139,0,0,3.5560799999999997,1.0280000000000005,3.1569230769230767,6.25,0,0,29.3,0.434696305648294,-42.00900023684834,-33.3473799896492,88.902,0.514,59.48,4.5,0,0
CRI,4.98,7.382363709398087,0,0,10,6.45,3.4461538461538455,3.5,0,0,45.1,0.687062418662457,-28.842194816618914,-13.129412744678358,295.607,3.225,57.6,3.4,0,0
CUB,6.959999999999999,5.439730491532212,1.074673358137927,4.021047152447648,8.661760000000001,2.2699999999999996,0.6492307692307691,3.5,0,0,35.2,0.557003544705347,16.120100372068883,60.31570728671471,216.544,1.135,75.78,3.4,0,0
CYP,5.3999999999999995,7.117698112223462,0,10,10,0,2.5646153846153847,3.25,0,0,43,0.669343114149826,-100,174.174649789533,257.238,0,63.33,3.3,0,0
CZE,3.5999999999999996,10,0,0,0.49251999999999896,0.40000000000000036,3.846153846153846,3.5,0,0,52,1,-62.9762640304809,-47.668798807324634,12.313,0.2,55,3.4,0,0
DEU,0.7999999999999989,4.389309674192852,0,0,0.27928,1.1259999999999994,1.7307692307692317,0.5,0,0,66,0.486678098075567,-39.375321617365,-67.68038719218445,6.982,0.563,68.75,2.2,0,0
DJI,9.36,2.3158793087217084,6.666666666674814e-4,6.666666666674814e-4,0.040480000000000516,0,5.481538461538462,8.75,0,0,23.2,0.347862383363396,0.01,0.01,1.012,0,44.37,5.5,0,0
DMA,9.2,0.6100284051331872,NA,NA,0.1587600000000009,0,5.576923076923077,5.5,0,0,24,0.233656034157048,NA,NA,3.969,0,43.75,4.2,0,0
DNK,0,3.564452771041399,0,0,1.3683599999999991,0.1479999999999997,3.6861538461538466,0.25,10,0,70.4,0.431454106735873,-31.417004048582996,-62.36404846390327,34.209,0.074,56.04,2.1,10,0
DOM,6.340000000000001,4.956583433431737,0.5110704854763366,0,3.158479999999999,1.2119999999999997,2.292307692307693,5.75,0,0,38.3,0.524656953617365,7.666057282145033,-16.455658798531132,78.962,0.606,65.1,4.3,0,0
DZA,9.28,5.418102503099674,0.6469620279530925,0.4429016872700835,0.332279999999999,0.3780000000000001,2.636923076923077,4.75,0,0,23.6,0.555555555555556,9.704430419296383,6.643525309051252,8.307,0.189,62.86,3.9,0,0
ECU,3.9800000000000004,7.106825956322959,0,2.8412619765727465,3.3401999999999994,3.724,1.9630769230769243,4.75,0,0,50.1,0.668615225662745,-10.563696172248797,42.6189296485912,83.505,1.862,67.24,3.9,0,0
EGY,6.0200000000000005,6.418970539125132,0,0,0.1527599999999989,0.5939999999999994,5.28923076923077,4,0,0,39.9,0.622563454189215,-16.041645608005663,-37.96827768397874,3.819,0.297,45.62,3.6,0,0
ERI,9.52,0,7.692307692307694,0,0.6896399999999989,0.1620000000000008,4.2153846153846155,9.75,0,0,22.4,0.18571952622054,115.38461538461542,-7.4045483427492,17.241,0.081,52.6,5.9,0,0
ESP,0.8199999999999985,0.03274848381817108,0,0,3.7938799999999997,0.6720000000000006,3.758461538461538,2,0,0,65.9,0.195007268227491,-59.284016825731676,-10.881285419910844,94.847,0.336,55.57,2.8,0,0
EST,2.5999999999999996,10,0,0,0.7452400000000008,0,6.138461538461538,2.5,0,0,57,1,-53.846153846153854,-53.34168067947827,18.631,0,40.1,3,0,0
ETH,5.88,5.885361054168175,0,0,0.03211999999999904,0.07399999999999984,5.481538461538462,9.75,0,0,40.6,0.586838414532693,-21.417797888386126,-39.70543619163196,0.803,0.037,44.37,5.9,0,0
FIN,0.2599999999999998,4.714772332476336,0,1.1129612468021808,0.9261199999999992,0.1039999999999992,3.653846153846154,0.25,0,0,68.7,0.508467752685684,-73.05826536595768,16.694418702032728,23.153,0.052,56.25,2.1,0,0
FJI,8.86,0,10,10,10,3.824,1.8353846153846156,5.249999999999999,0,0,25.7,0.101932237818838,1622.4979321753515,211.09841118124834,298.64,1.912,68.07,4.1,0,0
FRA,0.35999999999999943,9.590943594003205,0,0,1.1915200000000006,1.0099999999999998,3.653846153846154,2.5,0,0,68.2,0.834926364462594,-41.29259449863824,-58.73067495540194,29.788,0.505,56.25,3,0,0
FSM,7.44,NA,NA,NA,0,0,NA,NA,0,0,32.8,NA,NA,NA,0,0,NA,NA,0,0
GAB,10,5.978816524918553,0,0,0.2541600000000006,0.1280000000000001,3.2692307692307683,7.5,0,0,20,0.593095238095238,-56.96141864366163,-59.381638111810865,6.354,0.064,58.75,5,0,0
GBR,0,3.84053277174229,4.135564809722116,7.345964399900748,10,0.49600000000000044,2.4923076923076923,1.5,10,0,77.9,0.449937603096901,62.03347214583172,110.18946599851121,260.068,0.248,63.8,2.6,10,0
GEO,3.5999999999999996,5.38763608038849,0,0,7.180879999999999,7.018,3.10923076923077,5,0,0,52,0.553515835141596,-17.383263822765038,-4.549064464611159,179.522,3.509,59.79,4,0,0
GHA,6.9,4.922767583196153,0.5576923076923084,0.5567233581756792,0.07467999999999897,0.009999999999999787,5.4799999999999995,6.75,0,0,35.5,0.522392989754761,8.365384615384615,8.350850372635191,1.867,0.005,44.38,4.7,0,0
GIN,7.459999999999999,3.398109494263756,0,5.82775794132261,0.09135999999999989,0.02200000000000024,4.487692307692308,10,10,0,32.7,0.42031746031746,-56.92307692307692,87.41636911983916,2.284,0.011,50.83,6,10,0
GMB,7.16,0.5163784945122334,0,6.071927604632055,0.08039999999999914,0,5.529230769230769,9.25,0,0,34.2,0.227386192887204,-100,91.07891406948082,2.01,0,44.06,5.7,0,0
GNB,10,NA,0,4.7679710526856836,0.05515999999999899,0,NA,10,0,0,20,NA,-100,71.51956579028524,1.379,0,NA,6.2,0,0
GNQ,10,NA,0,0,0.10587999999999909,0.20400000000000063,NA,9.75,0,0,16.2,NA,-46.15384615384615,-13.846489602931625,2.647,0.102,NA,5.9,0,0
GRC,3.24,4.512378440648886,0,0,1.5822000000000003,2.767999999999999,3.0446153846153843,3.25,0,0,53.8,0.49491752538349,-32.818453300381016,-51.07261459136148,39.555,1.384,60.21,3.3,0,0
GRD,8.5,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,27.5,NA,0.01,0.01,0,0,NA,3.6,0,0
GTM,7.459999999999999,6.072922757180111,7.554643665913771,0.28869934403740594,3.1771200000000004,5.774,4.190769230769231,7,0,0,32.7,0.599395630000268,113.31965498870656,4.33049016056109,79.428,2.887,52.76,4.8,0,0
GUY,7.66,0.587505008907792,0,3.581615280854322e-4,5.26708,5.812,2.0830769230769244,4.25,0,0,31.7,0.232148097649104,-23.07836366491347,0.005372422921279633,131.677,2.906,66.46,3.7,0,0
