Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert
MWI,8.4,4.76190476190474,0,0,0.46808,1.046,5.55538461538462,9.25,0
MYS,1.56,9.52380952380948,0.512820512820513,0,3.51108,0.83,1.06769230769231,3,0
NAM,6.88,0,0,0,2.98432,1.35,4.95692307692308,7.75,0
NER,7.56,9.52380952380948,0,0,0.0125199999999985,0.0359999999999996,6.96615384615385,10,0
NGA,6.44,4.76190476190474,1.03123035003144,0,0.186559999999998,0.128,4.52923076923077,9.75,10
NIC,5.38,2.38095238095237,0.512820512820513,0.815199025923523,0.0440000000000005,0.0440000000000005,10,6.5,0
NLD,0,4.76190476190474,0,0,8.558,7.154,1.38461538461538,1.25,0
NOR,1.08,9.52380952380948,0,0,2.1218,0.789999999999999,2.28153846153846,0,0
NPL,6.98,4.76190476190474,0,0,0.144360000000001,0.0579999999999998,3.52153846153846,7.75,0
NRU,9.84,NA,NA,NA,NA,NA,NA,8,0
NZL,3.2,10,6.66666666667481e-4,6.66666666667481e-4,0.0260800000000003,0.0600000000000005,3.37538461538461,0.25,0
OMN,5.38,4.76190476190474,1.47073711403187,3.03617569271706,2.09476,0.56,3.40153846153846,2.5,0
PAK,6.9,0,0,0,0.21064,0.4,3.17076923076923,8.25,0
PAN,5.26,7.14285714285711,0,0,5.81128,8.078,1.19692307692308,4.25,0
PER,4.16,4.76190476190474,0.73282873857449,0.94457472322663,8.42884,10,0.990769230769232,5.75,0
PHL,4.48,7.14285714285711,0,0,0.61956,0.532,3.71846153846154,6.75,0
PLW,9.62,NA,NA,NA,NA,NA,NA,4.75,0
PNG,8.44,7.14285714285711,6.66666666667481e-4,6.66666666667481e-4,0.0261999999999993,0.032,4.65846153846154,9.25,0
POL,2.92,2.38095238095237,0,0.490447353377194,6.61136,10,2.06769230769231,2.75,0
PRK,0,NA,NA,NA,NA,NA,NA,6.75,0
PRT,1.94,4.76190476190474,0,0,8.10344,10,1.35076923076923,2,0
PRY,6.86,4.76190476190474,0.896405994743946,1.33995990567005,5.48552,4.686,4.70153846153846,4,0
QAT,5.76,2.38095238095237,10,1.98933419326644,6.25168,0.198,1.09384615384615,3.25,10
ROU,4.84,0,0,0,4.96556,6.816,0.0676923076923082,4.25,0
RUS,5.14,NA,0,0,3.77376,6.21,5.24,3,0
RWA,7.16,9.52380952380948,0,0,0.3384,0.263999999999999,2.05076923076923,7.5,0
SAU,4.14,7.14285714285711,2.06154606451122,2.24830630564716,0.379,0.246,2.76923076923077,2,10
SDN,8.76,4.76190476190474,0,0,0.0237199999999991,0.0980000000000008,8.29076923076923,9.5,10
SEN,6.42,4.76190476190474,1.19870772502351,0.689700304035552,0.74568,0.972,5.34153846153846,7.75,10
SGP,2.26,2.38095238095237,6.66666666667481e-4,6.66666666667481e-4,0.0713200000000001,0,2.06769230769231,1.25,0
SLB,9.86,4.76190476190474,NA,NA,0,0,7.86307692307692,9,0
SLE,6.36,10,0,0,0.0114800000000006,0,4.61538461538462,10,0
SLV,5.16,7.14285714285711,0.0410834359056125,0,1.66772,2.51,4.44461538461538,5.5,0
SOM,10,9.52380952380948,10,10,0.22256,0.630000000000001,8.63230769230769,10,0
SRB,3.54,0,0,0.667437884917351,10,4.576,2.25692307692308,4.25,0
SSD,9.66,9.52380952380948,10,10,0.5738,0.305999999999999,3.84615384615385,10,10
STP,10,NA,7.69230769230769,2.17637742469129,3.0506,1.304,NA,7.75,0
SUR,6.7,2.38095238095237,0.513662879027187,0,0.711079999999999,0.974,2.56461538461538,4,0
SVK,4.42,NA,0.916561764130657,0.344887897041433,10,10,0.444615384615384,3.25,0
SVN,0.559999999999999,7.14285714285711,0,0,10,10,0.923076923076923,1.75,0
SWE,0,2.38095238095237,0,0.172941352285566,10,6.45,3.13692307692308,0.5,0
