Country,M_EIU_12m_change_norm,M_EIU_Score_12m_norm,M_EIU_Score_12m_raw,M_EIU_12m_change_raw
KOR,0,2.8099173553719003,30.454545454545453,-3.4545454545454533
KWT,1.8181818181818166,4.231404958677686,38.27272727272727,-1.2727272727272734
LAO,4.318181818181817,7.867768595041323,58.27272727272727,-0.2727272727272734
LBN,10,9.553719008264464,67.54545454545455,2.4545454545454533
LBR,5.227272727272734,9.256198347107437,65.9090909090909,0.09090909090909349
LBY,0.22727272727273373,10,76.9090909090909,-1.9090909090909065
LCA,NA,NA,NA,NA
LIE,2.7272727272727293,0,12.909090909090908,-0.9090909090909083
LKA,0.22727272727273373,5.801652892561983,46.90909090909091,-1.9090909090909065
LSO,3.1818181818181834,6.677685950413223,51.72727272727273,-0.7272727272727266
LTU,0.9090909090909083,2.4793388429752072,28.636363636363637,-1.6363636363636367
LUX,6.136363636363633,0.2809917355371905,16.545454545454547,0.45454545454545325
LVA,0,3.206611570247934,32.63636363636363,-3.636363636363633
MAR,1.3636363636363669,6.446280991735537,50.45454545454545,-1.4545454545454533
MDA,0,7.537190082644628,56.45454545454545,-2.4545454545454533
MDG,4.772727272727266,8.016528925619834,59.09090909090909,-0.09090909090909349
MDV,NA,NA,NA,NA
MEX,5,5.2727272727272725,44,0
MHL,NA,NA,NA,NA
MKD,0,5.12396694214876,43.18181818181818,-3.18181818181818
MLI,4.318181818181817,8.59504132231405,62.27272727272727,-0.2727272727272734
MLT,5.909090909090908,1.9338842975206614,25.636363636363637,0.3636363636363633
MMR,10,9.05785123966942,64.81818181818181,8.181818181818187
MNE,6.136363636363633,6.2809917355371905,49.54545454545455,0.45454545454545325
MNG,1.5909090909090828,5.884297520661158,47.36363636363637,-1.3636363636363669
MOZ,5,8.181818181818182,60,0
MRT,1.3636363636363669,8.264462809917354,60.45454545454545,-1.4545454545454533
MUS,2.727272727272725,2.892561983471074,30.90909090909091,-0.9090909090909101
MWI,2.0454545454545503,8.033057851239668,59.18181818181818,-1.1818181818181799
MYS,0,2.7603305785123977,30.181818181818183,-2.1818181818181834
NAM,4.54545454545455,4.9421487603305785,42.18181818181818,-0.18181818181817988
NER,0.45454545454546746,9.05785123966942,64.81818181818181,-1.818181818181813
NGA,5,9.636363636363637,68,0
NIC,2.7272727272727337,9.074380165289256,64.9090909090909,-0.9090909090909065
NLD,5,0.9090909090909101,20,0
NOR,2.727272727272725,0.3471074380165291,16.90909090909091,-0.9090909090909101
NPL,6.818181818181817,7.140495867768595,54.27272727272727,0.7272727272727266
NRU,NA,NA,NA,NA
NZL,0.9090909090909083,0.29752066115702647,16.636363636363637,-1.6363636363636367
OMN,6.363636363636367,4.446280991735537,39.45454545454545,0.5454545454545467
PAK,1.5909090909091006,8.975206611570247,64.36363636363636,-1.3636363636363598
PAN,0,4.049586776859504,37.27272727272727,-2.2727272727272734
PER,1.3636363636363669,4.264462809917355,38.45454545454545,-1.4545454545454533
PHL,0,6.495867768595041,50.72727272727273,-2.7272727272727266
PLW,NA,NA,NA,NA
PNG,6.363636363636367,7.7190082644628095,57.45454545454545,0.5454545454545467
POL,0.22727272727273373,3.2561983471074374,32.90909090909091,-1.9090909090909065
PRK,4.090909090909101,10,78.36363636363636,-0.36363636363635976
PRT,6.363636363636367,2.6280991735537187,29.454545454545453,0.5454545454545467
PRY,0,5.652892561983471,46.09090909090909,-2.0909090909090935
QAT,0,3.4049586776859506,33.72727272727273,-3.7272727272727266
ROU,0,4.7272727272727275,41,-2
RUS,2.5,7.090909090909091,54,-1
RWA,5,6.7272727272727275,52,0
SAU,0,4.975206611570249,42.36363636363637,-2.363636363636367
SDN,4.318181818181834,10,76.27272727272727,-0.27272727272726627
SEN,3.409090909090917,6.297520661157025,49.63636363636363,-0.6363636363636331
SGP,2.045454545454546,0,12.181818181818182,-1.1818181818181817
SLB,NA,NA,NA,NA
SLE,2.0454545454545503,8.214876033057852,60.18181818181818,-1.1818181818181799
SLV,1.3636363636363669,5.355371900826446,44.45454545454545,-1.4545454545454533
SOM,6.363636363636367,10,83.45454545454545,0.5454545454545467
SRB,2.0454545454545503,5.851239669421488,47.18181818181818,-1.1818181818181799
SSD,NA,NA,NA,NA
STP,0,7.454545454545455,56,-2
SUR,1.8181818181818166,6.958677685950414,53.27272727272727,-1.2727272727272734
SVK,2.2727272727272663,3.107438016528926,32.09090909090909,-1.0909090909090935
SVN,0,2.1652892561983457,26.90909090909091,-2.90909090909091
SWE,4.318181818181817,0.4132231404958677,17.272727272727273,-0.2727272727272734
SWZ,1.3636363636363669,7.1735537190082646,54.45454545454545,-1.4545454545454533
SYC,3.863636363636367,4.082644628099174,37.45454545454545,-0.45454545454545325
SYR,3.636363636363633,10,87.54545454545455,-0.5454545454545467
TCD,3.863636363636367,9.900826446280991,69.45454545454545,-0.45454545454545325
TGO,4.772727272727266,7.8347107438016534,58.09090909090909,-0.09090909090909349
THA,2.2727272727272663,4.925619834710744,42.09090909090909,-1.0909090909090935
TJK,2.2727272727272663,10,74.0909090909091,-1.0909090909090935
TKM,0,10,75.0909090909091,-2.0909090909090935
TLS,2.5,6.545454545454545,51,-1
TON,NA,NA,NA,NA
TTO,1.8181818181818166,5.322314049586777,44.27272727272727,-1.2727272727272734
TUN,4.090909090909083,6.793388429752067,52.36363636363637,-0.36363636363636687
TUR,5.681818181818183,7.223140495867769,54.72727272727273,0.2727272727272734
TUV,NA,NA,NA,NA
TZA,1.8181818181818166,8.049586776859504,59.27272727272727,-1.2727272727272734
UGA,1.1363636363636331,7.917355371900827,58.54545454545455,-1.5454545454545467
UKR,4.54545454545455,8.396694214876032,61.18181818181818,-0.18181818181817988
URY,0,4.578512396694214,40.18181818181818,-2.18181818181818
USA,0,2.03305785123967,26.181818181818183,-2.1818181818181834
UZB,4.090909090909101,9.702479338842975,68.36363636363636,-0.36363636363635976
VCT,NA,NA,NA,NA
VEN,7.272727272727266,10,86.0909090909091,0.9090909090909065
VNM,2.7272727272727337,5.983471074380165,47.90909090909091,-0.9090909090909065
VUT,NA,NA,NA,NA
WSM,NA,NA,NA,NA
YEM,6.136363636363633,10,84.54545454545455,0.45454545454545325
ZAF,5,5.090909090909091,43,0
ZMB,9.318181818181817,8.231404958677686,60.27272727272727,1.7272727272727266
ZWE,2.9545454545454675,10,77.81818181818181,-0.818181818181813
